ts_code,weight,volume,market_value,close_price
300012.SZ,0.008487400830486004,600,8532.0,14.22
300033.SZ,0.02200437252348223,100,22120.0,221.2
300209.SZ,0.10309824449971512,4000,103640.0,25.91
300302.SZ,0.08782649373206144,1600,88288.0,55.18
300347.SZ,0.003937310418080591,100,3958.0,39.58
300383.SZ,0.0053478981322893525,400,5376.0,13.44
300548.SZ,0.09151909006149933,400,92000.0,230.0
300632.SZ,0.025721838170871612,900,25857.0,28.73
300672.SZ,0.09477000730411868,300,95268.0,317.56
300721.SZ,0.025131937949062166,800,25264.0,31.58
300724.SZ,0.06078459216432452,800,61104.0,76.38
300750.SZ,0.04060662235120003,100,40820.0,408.2
300759.SZ,0.013715926236608183,600,13788.0,22.98
300835.SZ,0.07460397476361091,400,74996.0,187.49
300857.SZ,0.0972251063722902,400,97736.0,244.34
300919.SZ,0.019636813454499965,400,19740.0,49.35
300959.SZ,0.0589104403634999,300,59220.0,197.4
300972.SZ,0.01890068164313573,100,19000.0,190.0
301308.SZ,0.05655083947626211,100,56848.0,568.48
301358.SZ,0.08135748674651873,1100,81785.0,74.35
301387.SZ,0.009231490823594715,100,9280.0,92.8
