split,bucket_feature,bucket,rows,mean_exec_return,return_ir,buy_executable_rate,limit_up_rate,limit_down_rate
test,lag1_amount_20d_mean,low,9504,0.0028256993268192423,0.11895141835949795,0.9994739057239057,0.0005260942760942761,0.0
test,lag1_amount_20d_mean,mid,9365,0.009574762632300077,0.31276355433041114,0.998505072076882,0.0014949279231179925,0.00021356113187399894
test,lag1_amount_20d_mean,high,9546,0.012447206339511055,0.28544497028926585,0.9969620783574272,0.0030379216425728056,0.001047559187094071
test,lag1_amount_rank_pct,low,9489,0.0034085780788038816,0.14313457473736918,0.9994730740857836,0.0005269259142164611,0.0
test,lag1_amount_rank_pct,mid,9379,0.008542196901272978,0.26967675534110375,0.9990404094253119,0.0009595905746881331,0.0006397270497920887
test,lag1_amount_rank_pct,high,9547,0.012871359384491835,0.30152546338330044,0.996438671834084,0.0035613281659159944,0.0006284696763381167
test,lag1_log_circ_mv,low,9547,0.005663278849958813,0.22271003500876982,0.9990572954854928,0.000942704514507175,0.00010474494605635278
test,lag1_log_circ_mv,mid,9378,0.009173836607307563,0.2690512732008786,0.9982938792919599,0.0017061207080400938,0.00042653017701002344
test,lag1_log_circ_mv,high,9490,0.010036308460133371,0.26868398863951626,0.9975763962065332,0.0024236037934668073,0.0007376185458377239
test,lag1_turnover_rate_f,low,9512,0.0031344409609608223,0.13439672508555106,0.9995794785534062,0.00042052144659377626,0.00010513036164844407
test,lag1_turnover_rate_f,mid,9369,0.009071525989987683,0.2889316866015366,0.9990393852065321,0.0009606147934678194,0.0003202049311559398
test,lag1_turnover_rate_f,high,9534,0.01264298308681549,0.2971090256710157,0.9963289280469897,0.003671071953010279,0.0008391021606880638
test,lag1_ret_20d_std,low,9524,0.0038832645830364694,0.166028572449754,0.999160016799664,0.0008399832003359933,0.00010499790004199917
test,lag1_ret_20d_std,mid,9358,0.007616552148912071,0.24175475270809924,0.9988245351570848,0.0011754648429151528,0.0003205813207950417
test,lag1_ret_20d_std,high,9533,0.013330979048798312,0.30880960661069934,0.9969579355921536,0.003042064407846428,0.0008391901814748768
validation,lag1_amount_20d_mean,low,14654,-0.0011562334868717929,-0.026142308052140153,0.999181110959465,0.0008188890405350075,6.82407533779173e-05
validation,lag1_amount_20d_mean,mid,14437,-0.001650968461377434,-0.034965470239911416,0.9979912724250191,0.002008727574980952,0.0
validation,lag1_amount_20d_mean,high,14712,-0.0004072887424209245,-0.009187431063351193,0.9962615551930397,0.0037384448069603046,0.0002718868950516585
validation,lag1_amount_rank_pct,low,14583,-0.0012862512199469408,-0.028388496399784156,0.9992456970445038,0.0007543029554961257,6.857299595419324e-05
validation,lag1_amount_rank_pct,mid,14485,-0.0016149914813413783,-0.03342454722135872,0.9983431135657577,0.0016568864342423196,6.903693476009665e-05
validation,lag1_amount_rank_pct,high,14735,-0.0003135362079610321,-0.008471286747498469,0.9958601968103156,0.0041398031896844245,0.0002035968781812012
validation,lag1_log_circ_mv,low,14735,-0.0007204013625602869,-0.016792723295686502,0.9985748218527316,0.0014251781472684087,0.00013573125212080082
validation,lag1_log_circ_mv,mid,14479,-0.0006096165365789078,-0.014377087287832421,0.9979280337039851,0.002071966296014918,6.906554320049727e-05
validation,lag1_log_circ_mv,high,14589,-0.0018732440373959909,-0.0364504880065581,0.9969154842689698,0.0030845157310302285,0.00013708958804578791
validation,lag1_turnover_rate_f,low,14656,-0.0022430509993887136,-0.0524683037861175,0.9993176855895196,0.0006823144104803493,0.0
validation,lag1_turnover_rate_f,mid,14456,-0.0017644685274434808,-0.03295672341312301,0.9984089651355839,0.0015910348644161594,0.00020752628666297732
validation,lag1_turnover_rate_f,high,14691,0.0007903344433831604,0.00889678633813685,0.9957116602001225,0.004288339799877476,0.00013613777142468177
validation,lag1_ret_20d_std,low,14697,-0.0011079833774427091,-0.025680638045618147,0.9992515479349527,0.0007484520650472886,6.804109682248077e-05
validation,lag1_ret_20d_std,mid,14429,-0.0013336937325727387,-0.026619131880038175,0.9978515489638922,0.0021484510361078385,0.0
validation,lag1_ret_20d_std,high,14677,-0.0007660019490668645,-0.01633686035007658,0.9963207740001363,0.0036792259998637326,0.00027253525924916534
