split,year,rows,kept,drop_rate,mask_state_missing_rate,mask_state_not_tradable_rate,mask_st_rate,mask_suspended_rate,mask_price_invalid_rate,mask_volume_invalid_rate,mask_locked_limit_rate,mask_low_amount_rate,mask_microcap_rate
test,2025,23850,21633,0.0929559748427673,0.0,0.0,0.0,0.0,0.0,0.0,0.0024318658280922433,0.054465408805031444,0.05144654088050314
test,2026,8587,7864,0.08419704204029343,0.0,0.0,0.0,0.0,0.0,0.0,0.00232910213112845,0.057412367532316294,0.050075695819261676
train,2016,22101,18269,0.17338581964616984,0.0,0.0,0.0,0.0,0.0,0.0,0.023302113026559886,0.1090448396000181,0.06044975340482331
train,2017,21599,17621,0.18417519329598597,0.0,0.0,0.0,0.0,0.0,0.0,0.006944765961387101,0.13861752858928655,0.05717857308208713
train,2018,22418,17908,0.20117762512266923,0.0,0.0,0.0,0.0,0.0,0.0,0.01596931037559104,0.14443750557587653,0.05500044607012222
train,2019,23982,20102,0.16178800767242096,0.0,0.0,0.0,0.0,0.0,0.0,0.014010507880910683,0.12013176549078476,0.05174714369110166
train,2020,23972,21502,0.10303687635574832,0.0,0.0,0.0,0.0,0.0,0.0,0.01772901718671784,0.05760887702319373,0.05114300016686134
train,2021,23782,21709,0.08716676478008578,0.0,0.0,0.0,0.0,0.0,0.0,0.0014717012866874107,0.05790093347910184,0.05184593389958792
train,2022,23724,21649,0.08746417130332151,0.0,0.0,0.0,0.0,0.0,0.0,0.0007587253414264037,0.058168942842690946,0.051719777440566515
validation,2023,23815,21784,0.08528238505143815,0.0,0.0,0.0,0.0,0.0,0.0,0.0009237875288683603,0.06008817971866471,0.051312198194415286
validation,2024,23813,21937,0.07878049804728504,0.0,0.0,0.0,0.0,0.0,0.0,0.0036114727249821526,0.05748960651744845,0.05110653844538697
