run,split,k,style_col,top_mean,bottom_mean,top_minus_bottom
old_full62,test,10,lag1_log_circ_mv,15.376628562694359,15.008215076913906,0.3684134857804524
old_full62,test,10,lag1_amount_20d_mean,2400414.6333386935,1733924.7601536624,666489.8731850305
old_full62,test,10,lag1_amount_rank_pct,0.5326608850988205,0.6377573135224591,-0.10509642842363867
old_full62,test,10,lag1_turnover_rate_f,3.45154556231003,6.9775488145896665,-3.5260032522796356
old_full62,test,10,lag1_turnover_cost_proxy,0.17301083599270298,0.34491506697369595,-0.17190423098099297
old_full62,test,10,lag1_ret_20d_std,0.025082943506597715,0.035636918872580796,-0.010553975365983088
old_full62,test,10,lag1_ret_60d_std,0.028217026438432602,0.0310374759283865,-0.0028204494899538982
old_full62,test,10,lag1_amplitude,0.03577328185383702,0.05028087167164894,-0.014507589817811925
old_full62,test,10,lag1_limit_position,0.4997440258498951,0.5115340676796268,-0.011790041829731618
old_full62,test,10,lag1_limit_touch_up,0.0006079027355623101,0.007598784194528876,-0.006990881458966564
old_full62,test,10,lag1_limit_touch_down,0.00030395136778115504,0.0012158054711246201,-0.000911854103343465
old_full62,test,10,lag1_near_limit_up_2pct,0.0006079027355623101,0.007294832826747722,-0.006686930091185411
old_full62,test,10,lag1_near_limit_down_2pct,0.0006079027355623101,0.0012158054711246201,-0.00060790273556231
old_full62,test,30,lag1_log_circ_mv,15.268778236378308,15.065798912914858,0.20297932346345068
old_full62,test,30,lag1_amount_20d_mean,2085061.0916318086,1793622.0246529938,291439.06697881455
old_full62,test,30,lag1_amount_rank_pct,0.5273872398034077,0.5825573760364487,-0.05517013623304094
old_full62,test,30,lag1_turnover_rate_f,3.641444701114488,5.460318926038501,-1.8188742249240122
old_full62,test,30,lag1_turnover_cost_proxy,0.18407308596022065,0.2745354032020684,-0.09046231724184768
old_full62,test,30,lag1_ret_20d_std,0.025704001442413246,0.03189025538670712,-0.00618625394429388
old_full62,test,30,lag1_ret_60d_std,0.028823875526395717,0.03020659472148956,-0.0013827191950938399
old_full62,test,30,lag1_amplitude,0.03565033253277665,0.04370023045592861,-0.008049897923151954
old_full62,test,30,lag1_limit_position,0.5005770358650939,0.5077274210231132,-0.007150385158019199
old_full62,test,30,lag1_limit_touch_up,0.0007092198581560284,0.004356636271529888,-0.00364741641337386
old_full62,test,30,lag1_limit_touch_down,0.0004052684903748733,0.000911854103343465,-0.0005065856129685917
old_full62,test,30,lag1_near_limit_up_2pct,0.0008105369807497469,0.00425531914893617,-0.0034447821681864235
old_full62,test,30,lag1_near_limit_down_2pct,0.0004052684903748733,0.0008105369807497467,-0.0004052684903748733
old_full62,validation,10,lag1_log_circ_mv,14.897438761492962,14.624333896903455,0.2731048645895071
old_full62,validation,10,lag1_amount_20d_mean,706917.3089124587,702183.635430687,4733.6734817717015
old_full62,validation,10,lag1_amount_rank_pct,0.5211590134743351,0.6181141435140184,-0.09695513003968338
old_full62,validation,10,lag1_turnover_rate_f,2.211235123966942,4.221678099173554,-2.0104429752066117
old_full62,validation,10,lag1_turnover_cost_proxy,0.12093622390139776,0.22502663902459294,-0.10409041512319521
old_full62,validation,10,lag1_ret_20d_std,0.024164188783267274,0.033665806565791136,-0.009501617782523864
old_full62,validation,10,lag1_ret_60d_std,0.0266359500489855,0.03018127382634424,-0.0035453237773587364
