run,dropped_feature,split,best_epoch,best_val_rank_ic,days,ic_mean,icir,rank_ic_mean,rank_icir,rank_ic_positive_rate,base_ic_mean,base_rank_ic_mean,base_rank_icir,delta_ic_mean,delta_rank_ic_mean,delta_rank_icir
base_alpha18_resid,none,test,10,0.03857165111654913,329,-0.04293471755971206,-0.22983906450391403,0.0050424894762376386,0.03498224794378362,0.5045592705167173,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.0,0.0,0.0
base_alpha18_resid,none,validation,10,0.03857165111654913,484,0.005792199529678986,0.03130984569608205,0.03857165111654913,0.26729393336150686,0.6074380165289256,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.0,0.0,0.0
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,7,0.038916437620808944,329,-0.012656300929147012,-0.0699296461279817,0.015380788702784635,0.09388719375058133,0.49544072948328266,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.030278416630565047,0.010338299226546997,0.058904945806797705
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,7,0.038916437620808944,484,0.014029284432780276,0.08168678249001628,0.038916437620808944,0.23936056505082987,0.5640495867768595,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.00823708490310129,0.00034478650425981416,-0.027933368310676998
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,9,0.043634405988224864,329,-0.003429089266331735,-0.023752349422636758,0.010368016543736822,0.07515919781879157,0.5379939209726444,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.03950562829338032,0.005325527067499183,0.04017694987500795
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,9,0.043634405988224864,484,0.02505647419395581,0.15256506112262697,0.043634405988224864,0.3063430467351228,0.621900826446281,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.019264274664276822,0.005062754871675734,0.03904911337361594
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,10,0.03923802122695772,329,-0.016220286325767382,-0.08643210164921909,0.011650793151547342,0.06482631513025923,0.5075987841945289,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.026714431233944676,0.006608303675309703,0.029844067186475608
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,validation,10,0.03923802122695772,484,0.02579426525486589,0.1648637322205244,0.03923802122695772,0.2541007128972977,0.6012396694214877,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.020002065725186903,0.0006663701104085915,-0.013193220464209177
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,test,7,0.03946562408687916,329,-0.014647970104992818,-0.08586419424890886,0.010922275592059846,0.0707681292370303,0.5015197568389058,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.028286747454719242,0.005879786115822207,0.035785881293246675
drop_amount_rank_pct_resid,lag1_amount_rank_pct__resid_style,validation,7,0.03946562408687916,484,0.020807348626042856,0.12058529443753692,0.03946562408687916,0.25496754097461155,0.5785123966942148,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.01501514909636387,0.0008939729703300314,-0.012326392386895313
drop_amount_log_resid,lag1_amount_log__resid_style,test,10,0.048831999363830175,329,-0.03474960276946104,-0.1837817325692383,0.012194213774353575,0.07501244423828171,0.48936170212765956,-0.04293471755971206,0.0050424894762376386,0.03498224794378362,0.008185114790251018,0.007151724298115936,0.04003019629449809
drop_amount_log_resid,lag1_amount_log__resid_style,validation,10,0.048831999363830175,484,0.02087627194866121,0.11697559981108618,0.048831999363830175,0.3092195946036545,0.5826446280991735,0.005792199529678986,0.03857165111654913,0.26729393336150686,0.015084072418982224,0.010260348247281045,0.04192566124214764
