run,dropped_feature,split,year,days,ic_mean,rank_ic_mean,rank_icir,base_ic_mean,base_rank_ic_mean,base_rank_icir,delta_ic_mean,delta_rank_ic_mean,delta_rank_icir
base_alpha18_resid,none,test,2025,243,-0.0384603142707771,0.01919367900778018,0.13696147291831426,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.0,0.0,0.0
base_alpha18_resid,none,test,2026,86,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.0,0.0,0.0
base_alpha18_resid,none,validation,2023,242,-0.001553983492562035,0.04778077047280788,0.34419325415416596,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.0,0.0,0.0
base_alpha18_resid,none,validation,2024,242,0.013138382551920007,0.02936253176029038,0.19665851895986725,0.013138382551920007,0.02936253176029038,0.19665851895986725,0.0,0.0,0.0
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,2025,243,-0.015456877253668178,0.013291302577306771,0.08159659062784733,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.02300343701710892,-0.0059023764304734095,-0.05536488229046693
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,test,2026,86,-0.004743044570325594,0.0212848018247744,0.12726426296280155,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.05083446367788873,0.056227650210918606,0.36245694319510413
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,2023,242,0.032520744133514363,0.05435939261358713,0.33610584918892034,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.0340747276260764,0.006578622140779249,-0.008087404965245626
drop_turnover_cost_proxy_resid,lag1_turnover_cost_proxy__resid_style,validation,2024,242,-0.004462175267953813,0.023473482628030767,0.14463113778760348,0.013138382551920007,0.02936253176029038,0.19665851895986725,-0.01760055781987382,-0.005889049132259613,-0.05202738117226377
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,2025,243,-0.0005365658101020776,0.011823343778872977,0.08506810049645704,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.03792374846067502,-0.007370335228907204,-0.05189337242185722
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,test,2026,86,-0.011602149729864366,0.006255870983991629,0.046105505044472625,-0.05557750824821432,-0.034942848386144205,-0.23519268023230255,0.04397535851834995,0.04119871937013583,0.2812981852767752
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,2023,242,0.024726022060727642,0.04666197455803979,0.3404710663601371,-0.001553983492562035,0.04778077047280788,0.34419325415416596,0.026280005553289677,-0.0011187959147680934,-0.003722187794028886
drop_turnover_20d_std_resid,lag1_turnover_20d_std__resid_style,validation,2024,242,0.025386926327183982,0.04060683741840993,0.27465276883814643,0.013138382551920007,0.02936253176029038,0.19665851895986725,0.012248543775263975,0.011244305658119551,0.07799424987827919
drop_turnover_60d_std_resid,lag1_turnover_60d_std__resid_style,test,2025,243,-0.005147444191753517,0.01998160725560963,0.11058927080624044,-0.0384603142707771,0.01919367900778018,0.13696147291831426,0.03331287007902358,0.0007879282478294482,-0.02637220211207382
