split,trade_date,control_set,available_controls,n,raw_ic,residual_ic,score_coef_after_controls
test,20250102,none,,90,0.09171974696829631,0.09171974696829631,0.00406186202718708
test,20250102,size,"lag1_log_circ_mv,lag1_log_total_mv",90,0.09171974696829631,0.0875169172538889,0.0038951728721770096
test,20250102,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,0.09171974696829631,0.19012130159472257,0.009475835790121262
test,20250102,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,0.09171974696829631,0.25527599268434714,0.015665451163671237
test,20250102,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,0.09171974696829631,0.23401341224386912,0.014017538883710053
test,20250103,none,,90,0.025303713415575885,0.025303713415575885,0.0012069972749881766
test,20250103,size,"lag1_log_circ_mv,lag1_log_total_mv",90,0.025303713415575885,0.02649354717536955,0.0012730504298586846
test,20250103,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,0.025303713415575885,0.0903204411085773,0.0047671450483827895
test,20250103,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,0.025303713415575885,0.22681729891465804,0.01607544992349146
test,20250103,industry_proxy_full_style,"lag1_industry_turnover_rank,lag1_industry_amount_rank,lag1_industry_pb_rank,lag1_industry_mv_rank,lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_ret_20d_std,lag1_ret_20d,lag1_beta_60d,lag1_pb_winsor",90,0.025303713415575885,0.22371787806069496,0.015229709812633612
test,20250106,none,,90,-0.03686581448044497,-0.03686581448044497,-0.0016103984190482755
test,20250106,size,"lag1_log_circ_mv,lag1_log_total_mv",90,-0.03686581448044497,-0.031103379883764465,-0.0013709387555145656
test,20250106,size_liquidity,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_amount_20d_mean",90,-0.03686581448044497,0.02095337523497496,0.0010325457191829811
test,20250106,full_style,"lag1_log_circ_mv,lag1_log_total_mv,lag1_amount_log,lag1_amount_rank_pct,lag1_turnover_rate_f,lag1_turnover_20d_mean,lag1_ret_20d_std,lag1_ret_60d_std,lag1_ret_20d,lag1_ret_60d_mean,lag1_beta_20d,lag1_beta_60d,lag1_pb_winsor,lag1_pe_ttm_winsor",90,-0.03686581448044497,0.10725084179187166,0.005920942545732432
