split,control_set,days,mean_raw_ic,mean_residual_ic,mean_score_coef_after_controls,positive_residual_ic_rate
test,full_style,329,0.04550284313516489,0.04204612266237879,0.0029691164519727305,0.6139817629179332
test,industry_proxy_full_style,329,0.04550284313516489,0.057946804370801165,0.0037341303228694556,0.6534954407294833
test,none,329,0.04550284313516489,0.04550284313516489,0.0023226878370702737,0.6291793313069909
test,size,329,0.04550284313516489,0.04740630536778464,0.00233996532264003,0.6352583586626139
test,size_liquidity,329,0.04550284313516489,0.0685034602562595,0.0040880522639123685,0.6747720364741642
validation,full_style,484,0.011287571170528615,0.004680132080050246,0.0004758328097198864,0.5
validation,industry_proxy_full_style,484,0.011287571170528615,0.0015076827156057782,0.00022683737099205316,0.49173553719008267
validation,none,484,0.011287571170528615,0.011287571170528615,0.000288638921333775,0.5289256198347108
validation,size,484,0.011287571170528615,0.012127687470933912,0.0002805153118047344,0.53099173553719
validation,size_liquidity,484,0.011287571170528615,0.009563364494595784,0.00045449999339251975,0.5268595041322314
