feature,starts_with_lag1,suspicious_style_or_microstructure
lag1_ret_1d,True,False
lag1_ret_5d,True,False
lag1_ret_20d,True,False
lag1_amount_log,True,True
lag1_vol_log,True,True
lag1_log_total_mv,True,True
lag1_log_circ_mv,True,True
lag1_turnover_rate,True,True
lag1_turnover_rate_f,True,True
lag1_volume_ratio,True,True
lag1_pe_ttm_winsor,True,False
lag1_pb_winsor,True,False
lag1_ps_ttm_winsor,True,False
lag1_net_mf_amount_to_amount,True,True
lag1_large_order_imbalance,True,False
lag1_main_mf_strength,True,False
lag1_amplitude,True,False
lag1_close_position,True,False
lag1_upper_shadow_ratio,True,False
lag1_lower_shadow_ratio,True,False
lag1_gap_open,True,True
lag1_intraday_return,True,True
lag1_benchmark_ret_1d,True,True
lag1_excess_ret_1d,True,False
lag1_beta_20d,True,False
lag1_beta_60d,True,False
lag1_residual_ret_20d,True,False
lag1_residual_ret_60d,True,False
lag1_rsi_14d,True,False
lag1_macd_diff,True,False
lag1_macd_dea,True,False
lag1_macd_hist,True,False
lag1_ma_ratio_5_20,True,False
lag1_ma_ratio_20_60,True,False
lag1_price_to_ma20,True,False
lag1_bollinger_z_20d,True,False
lag1_industry_ret_1d_mean,True,False
lag1_industry_neutral_ret_1d,True,False
lag1_industry_neutral_ret_20d,True,False
lag1_industry_turnover_rank,True,True
lag1_industry_amount_rank,True,True
lag1_industry_pb_rank,True,False
lag1_industry_mv_rank,True,False
lag1_is_limit_up,True,True
lag1_is_limit_down,True,True
lag1_has_price_limit,True,True
lag1_limit_ratio,True,True
lag1_dist_to_limit_up,True,True
lag1_dist_to_limit_down,True,True
lag1_limit_position,True,True
lag1_near_limit_up_2pct,True,True
lag1_near_limit_down_2pct,True,True
lag1_limit_touch_up,True,True
lag1_limit_touch_down,True,True
lag1_listed_trading_days,True,False
lag1_industry_net_mf_strength_mean,True,False
lag1_industry_net_mf_strength_rank,True,False
lag1_industry_net_mf_positive_ratio,True,False
lag1_amount_rank_pct,True,True
lag1_turnover_cost_proxy,True,True
lag1_illiquidity_proxy,True,False
lag1_max_drawdown_20d,True,False
lag1_new_high_20d,True,False
lag1_turnover_acceleration,True,True
lag1_weekday,True,True
lag1_month,True,True
lag1_is_month_end,True,True
lag1_ret_5d_mean,True,False
lag1_ret_10d_mean,True,False
lag1_ret_20d_mean,True,False
lag1_ret_60d_mean,True,False
lag1_ret_5d_std,True,False
lag1_ret_10d_std,True,False
lag1_ret_20d_std,True,False
lag1_ret_60d_std,True,False
lag1_amount_5d_mean,True,True
lag1_amount_10d_mean,True,True
lag1_amount_20d_mean,True,True
lag1_amount_60d_mean,True,True
lag1_turnover_5d_mean,True,True
lag1_turnover_10d_mean,True,True
lag1_turnover_20d_mean,True,True
lag1_turnover_60d_mean,True,True
lag1_turnover_5d_std,True,True
lag1_turnover_10d_std,True,True
lag1_turnover_20d_std,True,True
lag1_turnover_60d_std,True,True
lag1_net_mf_strength_5d_mean,True,False
lag1_net_mf_strength_10d_mean,True,False
lag1_net_mf_strength_20d_mean,True,False
lag1_net_mf_strength_60d_mean,True,False
lag1_excess_ret_5d_mean,True,False
lag1_excess_ret_10d_mean,True,False
lag1_excess_ret_20d_mean,True,False
lag1_excess_ret_60d_mean,True,False
