split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250205,20,2.0,40,85,0.028984896156548232,0.028923126340794733,0.062453273221866556,0.06362453581957331,-0.03353014688107182,-0.034701409478778575,6.17698157535e-05,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.041179877169,0.041179877169,0.0,0,0,20,20,1.1102230246251565e-16
test,20250212,20,2.0,40,86,0.02298956370037724,0.02293643661983174,0.016070513944185683,0.009214541812112396,0.0068659226756460565,0.013721894807719343,5.31270805455e-05,10.0,5.0,10000000.0,0.03,1.117492775788129,0.035418053697,0.017174990493,0.018243063204,0,0,23,23,3.3306690738754696e-16
test,20250219,20,2.0,40,87,0.0019868038281291097,0.0019020569727756097,0.018515326189644687,0.034650114473561686,-0.016613269216869078,-0.032748057500786076,8.474685535349997e-05,10.0,5.0,10000000.0,0.03,1.3625461072853553,0.05649790356899998,0.028934267748000002,0.027563635821,0,1,26,27,1.1102230246251565e-16
test,20250226,20,2.0,40,87,-0.028501182974355593,-0.028604334215355593,-0.03432345975607076,-0.028359081240983762,0.005719125540715169,-0.0002452529743718311,0.00010315124100000004,10.0,5.0,10000000.0,0.03,1.3380555824899252,0.06876749400000003,0.036342720846,0.03242477315399999,0,0,29,29,1.1102230246251565e-16
test,20250305,20,2.0,40,87,-0.0030489561283458975,-0.0031423169983939773,0.0004133562555677095,0.0023306236171185915,-0.003555673253961687,-0.005472940615512569,9.336087004807993e-05,10.0,5.0,10000000.0,0.03,1.1567009992616177,0.06224058003205329,0.027764934845999997,0.03447564518605329,0,0,30,30,2.220446049250313e-16
test,20250312,20,2.0,40,87,-0.0030317317907352127,-0.0031060242564479555,0.014183067902517443,0.001487857018171965,-0.0172890921589654,-0.004593881274619921,7.429246571274297e-05,10.0,5.0,10000000.0,0.03,1.2469364992195981,0.04952831047516198,0.02885620653,0.020672103945161974,0,0,30,30,1.1102230246251565e-16
test,20250319,20,2.0,40,84,-0.04353629916433376,-0.043598307542002765,-0.03709821694337789,-0.03754313325652977,-0.006500090598624872,-0.006055174285472996,6.200837766899999e-05,10.0,5.0,10000000.0,0.03,1.2486622903519604,0.041338918445999996,0.024280091793000003,0.017058826652999997,0,2,29,31,0.0
test,20250326,20,2.0,40,87,-0.014749712783340712,-0.014806412474568712,-0.01648515053215538,-0.00425611654650524,0.0016787380575866671,-0.010550295928063471,5.669969122799999e-05,10.0,5.0,10000000.0,0.03,1.2854830507678638,0.037799794151999994,0.023804254616999997,0.013995539534999999,0,4,30,34,0.0
test,20250402,20,2.0,40,89,-0.06597856475418473,-0.06606531695573088,-0.09697566074716402,-0.07103444985674835,0.030910343791433134,0.00496913290101747,8.675220154614434e-05,10.0,5.0,10000000.0,0.03,1.2872630888161827,0.0578348010307629,0.03322161410476289,0.024613186926000005,0,2,34,37,3.3306690738754696e-16
test,20250410,20,2.0,40,89,-0.005739811566121763,-0.005834318733511687,0.004340268460189645,0.0037113439133545385,-0.010174587193701332,-0.009545662646866225,9.450716738992346e-05,10.0,5.0,10000000.0,0.03,1.316323620709111,0.06300477825994898,0.031223840457162144,0.03178093780278683,0,2,30,33,0.0
test,20250417,20,2.0,40,90,0.012957996522796741,0.012912522424886035,0.014187780192588262,0.005998871151769051,-0.0012752577677022266,0.006913651273116985,4.547409791070549e-05,10.0,5.0,10000000.0,0.03,1.2104513353395883,0.030316065273803657,0.018280220043000003,0.01203584523080366,0,2,30,33,3.3306690738754696e-16
test,20250424,20,2.0,40,91,0.04068767486814249,0.040622425669844,0.026113231359929046,0.02970058326162263,0.014509194309914958,0.010921842408221374,6.524919829848451e-05,10.0,5.0,10000000.0,0.03,1.1166650406458958,0.043499465532323006,0.018806264682323003,0.02469320085,0,2,30,33,3.3306690738754696e-16
test,20250506,20,2.0,40,90,-0.01304626670431526,-0.013128797560650904,0.038185334622896416,-0.005389029458601336,-0.05131413218354732,-0.007739768102049568,8.253085633564447e-05,10.0,5.0,10000000.0,0.03,1.326949126289523,0.055020570890429644,0.019172768273999996,0.03584780261642965,0,1,33,34,3.3306690738754696e-16
test,20250513,20,2.0,40,90,-0.009504789919450479,-0.00957671325882748,-0.006692751630019256,-0.010108625396320636,-0.0028839616288082234,0.0005319121374931565,7.192333937699998e-05,10.0,5.0,10000000.0,0.03,1.366028632621199,0.04794889291799999,0.016944804863999994,0.031004088053999998,0,1,34,35,0.0
test,20250520,20,2.0,40,90,0.039782760809723816,0.0397307223882777,-0.027735780076991623,-0.024324917101007593,0.06746650246526932,0.06405563948928529,5.203842144611784e-05,10.0,5.0,10000000.0,0.03,1.2128754907571146,0.03469228096407856,0.014600278337078543,0.020092002627,0,1,33,35,0.0
test,20250527,20,2.0,40,83,0.0022856456490469457,0.0022393722289628416,0.01671504297130344,0.021072566723679947,-0.014475670742340598,-0.018833194494717105,4.627342008410406e-05,10.0,5.0,10000000.0,0.03,1.112999495740937,0.03084894672273604,0.011671036820999998,0.01917790990173604,0,4,30,35,1.1102230246251565e-16
test,20250604,20,2.0,40,83,0.008552353668505208,0.008479721765917225,0.018239561941169935,0.013697588635020502,-0.00975984017525271,-0.005217866869103277,7.263190258798336e-05,10.0,5.0,10000000.0,0.03,1.269106781204159,0.0484212683919889,0.023078925168,0.025342343223988914,0,4,30,35,0.0
test,20250611,20,2.0,40,84,-0.018133939963331867,-0.018199863790462265,-0.0034622983029850563,-0.003516161227315668,-0.014737565487477209,-0.014683702563146597,6.592382713039815e-05,10.0,5.0,10000000.0,0.03,1.1057002975608832,0.0439492180869321,0.01982036106,0.024128857026932096,0,5,29,36,0.0
test,20250618,20,2.0,40,84,0.023773785889761923,0.023712017074817467,0.035850768807131006,0.027225105677299338,-0.01213875173231354,-0.003513088602481871,6.176881494445699e-05,10.0,5.0,10000000.0,0.03,1.0117824004432652,0.04117920996297133,0.024448208424000004,0.01673100153897134,0,5,30,37,0.0
test,20250625,20,2.0,40,83,-0.010411416796744278,-0.010493345274018663,-0.002195694947575877,0.0008892431010594066,-0.008297650326442786,-0.01138258837507807,8.19284772743843e-05,10.0,5.0,10000000.0,0.03,0.8982461482074848,0.05461898484958953,0.029656919740816922,0.024962065108772604,0,4,28,35,1.1102230246251565e-16
test,20250702,20,2.0,40,88,0.012394247088857828,0.012317486013412864,0.02870229200295782,0.011084286334842873,-0.016384805989544955,0.001233199678569991,7.676107544496491e-05,10.0,5.0,10000000.0,0.03,1.048854088542119,0.05117405029664327,0.025582344052112113,0.025591706244531158,0,4,29,36,2.220446049250313e-16
test,20250709,20,2.0,40,87,0.020996719875891173,0.020923195899634144,0.020835918577344126,0.02080141984057107,8.727732229001778e-05,0.0001217760590630744,7.352397625703025e-05,10.0,5.0,10000000.0,0.03,1.1928807189988442,0.0490159841713535,0.02538336342804352,0.023632620743309976,0,4,30,35,0.0
