split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250205,20,2.0,40,85,0.061161649902458266,0.06111607422263777,0.062453273221866556,0.06362453581957332,-0.0013371989992287878,-0.002508461596935553,4.557567982049999e-05,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.030383786546999993,0.030383786546999993,0.0,0,0,20,20,0.0
test,20250212,20,2.0,40,86,0.0020719388381536938,0.0020205949306122363,0.016070513944185683,0.009214541812112396,-0.014049919013573445,-0.00719394688150016,5.1343907541457443e-05,10.0,5.0,10000000.0,0.03,0.9237185791568548,0.03422927169430496,0.016844027863304956,0.017385243831,0,0,20,21,0.0
test,20250219,20,2.0,40,87,0.055678544434440924,0.05562065472842057,0.018515326189644687,0.03465011447356169,0.037105328538775885,0.02097054025485888,5.788970602034864e-05,10.0,5.0,10000000.0,0.03,0.9233877480824264,0.03859313734689909,0.021790605317847385,0.016802532029051718,0,1,19,22,3.3306690738754696e-16
test,20250226,20,2.0,40,87,-0.03617795913220238,-0.03626949119525667,-0.03432345975607076,-0.028359081240983762,-0.0019460314391859107,-0.007910409954272911,9.15320630542957e-05,10.0,5.0,10000000.0,0.03,1.1044039153944225,0.06102137536953047,0.02267714914053047,0.038344226228999995,0,1,22,25,1.1102230246251565e-16
test,20250305,20,2.0,40,87,-0.00221712883383374,-0.0023896008004190973,0.0004133562555677095,0.0023306236171185915,-0.002802957055986807,-0.004720224417537689,0.00017247196658535721,10.0,5.0,10000000.0,0.03,1.3598268954894714,0.1149813110569048,0.08355304694000003,0.03142826411690476,0,1,26,29,0.0
test,20250312,20,2.0,40,87,0.004095205952599776,0.0040121333826631566,0.014183067902517443,0.001487857018171965,-0.010170934519854288,0.0025242763644911913,8.307256993661951e-05,10.0,5.0,10000000.0,0.03,1.3492342454668562,0.05538171329107967,0.036228068151079686,0.019153645139999998,0,1,29,31,2.220446049250313e-16
test,20250319,20,2.0,40,84,-0.016972593976648465,-0.017037664478405306,-0.03709821694337789,-0.037543133256529755,0.020060552464972587,0.02050546877812445,6.507050175684099e-05,10.0,5.0,10000000.0,0.03,1.3051899456095637,0.04338033450456066,0.026495855962560655,0.016884478542000002,0,2,30,33,2.220446049250313e-16
test,20250326,20,2.0,40,87,-0.007073884313820387,-0.007138984504889867,-0.01648515053215538,-0.00425611654650524,0.009346166027265512,-0.0028828679583846268,6.510019106947992e-05,10.0,5.0,10000000.0,0.03,1.2644087126796735,0.04340012737965328,0.02086001996265328,0.022540107416999997,0,3,30,35,5.551115123125783e-16
test,20250402,20,2.0,40,89,-0.09410206719081599,-0.0941913588942028,-0.09697566074716402,-0.07103444985674835,0.0027843018529612185,-0.023156909037454446,8.929170338680797e-05,10.0,5.0,10000000.0,0.03,1.1368486191669736,0.05952780225787198,0.025016243898,0.034511558359871956,0,1,30,33,1.1102230246251565e-16
test,20250410,20,2.0,40,89,-0.008320597206278287,-0.008425282157039594,0.004340268460189645,0.0037113439133545385,-0.012765550617229239,-0.012136626070394133,0.00010468495076130678,10.0,5.0,10000000.0,0.03,0.9796750564831467,0.06978996717420452,0.023495925072,0.04629404210220454,0,1,28,30,3.3306690738754696e-16
