split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,portfolio_nav,participation_cap,turnover_cap,exposure_cap,exposure_slack_penalty,buy_capacity_slack_penalty,cash_penalty,min_invested_shortfall_penalty,single_name_cap,min_invested,optimizer_status,solver_message,fallback_used,invested_weight,cash_weight,desired_turnover,filled_turnover,filled_desired_ratio,buy_turnover,sell_turnover,position_count,max_abs_exposure_z,avg_abs_exposure_z,max_exposure_slack,avg_exposure_slack,total_exposure_slack,buy_capacity_slack,min_invested_shortfall,min_invested_rule_ok,objective_value
test,20250205,industry_size_liquidity_vol_mom,20,0.0,0.0,0.044462700839944434,0.04312250444522207,0.062453273221866556,0.07052425095655465,-0.01933076877664449,-0.027401746511332585,0.001340196394722366,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999832439,0.2000000000167561,0.7999999988583687,0.893464263148244,1.1168303305290657,0.846732130185587,0.046732132962657005,79,1.3573805133921857,0.4401623553598327,1.0073805142089274,0.13269175888029094,2.123068142084655,0.5170187815103948,0.0,1.0,-569.9772773085459
test,20250205,industry_size_liquidity_vol_mom,20,0.0,0.02,0.044462699949555755,0.04326269612426034,0.062453273221866556,0.07052425095655465,-0.019190577097606215,-0.02726155483229431,0.0012000038252954147,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999945534,0.2000000000054466,0.7999999994578653,0.8000025501969431,1.0000031884238494,0.8000012746558794,1.2755410636239707e-06,79,1.3573805080591614,0.4401623505797766,1.0073805083109442,0.132691748188475,2.1230679710156,0.5170187882848132,0.0,1.0,-569.9932798783021
test,20250205,industry_size_liquidity_vol_mom,20,0.05,0.0,0.04446270037880514,0.0431223213545215,0.062453273221866556,0.07052425095655465,-0.019330951867345056,-0.02740192960203315,0.0013403790242836385,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999675408,0.2000000000324592,0.799999998076048,0.8935860161890923,1.1169825229226413,0.8467930054222718,0.04679301076682052,79,1.3573804551298965,0.4401623353348637,1.0073804565766016,0.13269174587467003,2.1230679339947205,0.5170187831671079,0.0,1.0,-570.3294039834535
test,20250205,industry_size_liquidity_vol_mom,20,0.05,0.02,0.04446270044100827,0.04326268258322596,0.062453273221866556,0.07052425095655465,-0.0191905906386406,-0.027261568373328694,0.001200017857782315,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999767697,0.20000000002323026,0.7999999981973132,0.8000119051882101,1.0000148837386547,0.8000059507150047,5.954473205428141e-06,79,1.3573804727377106,0.4401623407119536,1.0073804737258072,0.13269174787292845,2.123067965966855,0.5170187845074836,0.0,1.0,-570.3454062657719
test,20250205,industry_size_liquidity_vol_mom,20,0.1,0.0,0.04446270306499823,0.04312241271790584,0.062453273221866556,0.07052425095655465,-0.01933086050396072,-0.027401838238648814,0.0013402903470923916,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.799999999928728,0.20000000007127205,0.7999999955161107,0.8935268980615944,1.1169086288371113,0.8467634431758806,0.04676345488571376,79,1.3573803578128496,0.44016230219757835,1.0073803609491108,0.13269175071118017,2.1230680113788827,0.5170187726869439,0.0,1.0,-570.6815255413825
test,20250205,industry_size_liquidity_vol_mom,20,0.1,0.02,0.04446270137199201,0.0432626656557744,0.062453273221866556,0.07052425095655465,-0.019190607566092158,-0.027261585300780253,0.0012000357162176075,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999561221,0.20000000004387786,0.7999999972826582,0.8000238108117383,1.0000297669114513,0.800011901797846,1.1909013892342504e-05,79,1.3573803935397615,0.4401623059790276,1.0073803954755214,0.13269174724989685,2.1230679559983496,0.5170187801481222,0.0,1.0,-570.6975318590191
test,20250205,industry_size_liquidity_vol_mom,20,0.2,0.0,0.04441873639347874,0.04307401134697637,0.062453273221866556,0.07052425095655465,-0.01937926187489019,-0.027450239609578285,0.0013447250465023763,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999798515,0.2000000000201485,0.7999999975537482,0.8964833643349175,1.120604208845247,0.848241680567893,0.048241683767024576,79,1.3123116200222689,0.4149432049936255,0.9623116208243798,0.1275896619919208,2.0414345918707326,0.5191270435687206,0.0,1.0,-571.3612092174767
test,20250205,industry_size_liquidity_vol_mom,20,0.2,0.02,0.04441876805498298,0.04321871036079969,0.062453273221866556,0.07052425095655465,-0.019234562861066867,-0.027305540595754962,0.001200057694183294,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.7999999999222347,0.2000000000777653,0.7999999885940406,0.8000384627888626,1.000048092744213,0.8000192252065744,1.9237582288174247e-05,79,1.312310999711406,0.4149429899963656,0.96231100283005,0.12758962449607195,2.041433991937151,0.519127047770712,0.0,1.0,-571.3771984409884
test,20250212,industry_size_liquidity_vol_mom,20,0.0,0.0,-0.0009685330580832006,-0.0015023976709457596,0.016070513944185683,0.0025832371997086667,-0.017572911615131442,-0.0040856348706544265,0.000533864612862559,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.81064913775366,0.18935086224634,0.233472494188375,0.35590974190837266,1.5244182966632907,0.18327944047999303,0.17263030142837962,65,1.3036600578789923,0.32440702023680335,0.9536600583868928,0.08284984150326224,1.325597464052196,0.0,0.0,1.0,-33.03953374852149
test,20250212,industry_size_liquidity_vol_mom,20,0.0,0.02,-0.000968535520750609,-0.0013187661298622428,0.016070513944185683,0.0025832371997086667,-0.017389280074047924,-0.0039020033295709094,0.0003502306091116337,10000000.0,0.03,1.0,0.35,25.0,1000.0,0.0,0.0,0.05,0.8,Optimal,optimal,False,0.810649125642457,0.18935087435754305,0.23347246838263772,0.23348707274108912,1.000062552807843,0.12206809952870501,0.11141897321238411,65,1.3036601691680425,0.3244070592723416,0.9536601695840169,0.0828498445836506,1.3255975133384097,0.0,0.0,1.0,-33.044204711184584
