split,risk_control,k,style_penalty,turnover_penalty,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_filled_desired_ratio,avg_position_count,avg_cash_weight,avg_invested_weight,optimal_rate,feasible_rate,solver_error_rate,fallback_rate,avg_max_abs_exposure_z,avg_abs_exposure_z,avg_max_exposure_slack,avg_exposure_slack,avg_total_exposure_slack,avg_buy_capacity_slack,avg_min_invested_shortfall,min_invested_rule_pass_rate
test,industry_size_liquidity_vol_mom,20,0.0,0.0,63,0.24788984224186894,0.2089492730801121,-0.1032440001465933,-0.29344728002664966,-0.1149863159279585,0.20896470388197969,0.5139653329905817,2.468431222753601,64.4920634920635,0.18711001315133124,0.8128899868486689,1.0,1.0,0.0,0.0,0.701397872277888,0.29829320329997117,0.3513978726218633,0.04012641007608122,0.6420225612172995,0.008254864302330182,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.0,0.02,63,0.24931422124036962,0.2096770171172752,-0.10367823639156848,-0.2928126553575473,-0.11387256481764019,0.20904035252989292,0.20836430909401057,0.9972942328247564,64.74603174603175,0.18537621806897528,0.8146237819310247,1.0,1.0,0.0,0.0,0.7047878953599371,0.29892869088790935,0.354787895491531,0.04027789312560159,0.6444462900096254,0.008244165997489658,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.05,0.0,63,0.2239575285523252,0.18981587544765133,-0.10939786629244153,-0.3070855737971806,-0.1319459188197929,0.20762587005493569,0.5150809171191489,2.490288962795176,64.33333333333333,0.19025041225095407,0.8097495877490459,1.0,1.0,0.0,0.0,0.6890811503989707,0.2750390397644785,0.33908115053667004,0.038471039280749235,0.6155366284919878,0.008253492528534741,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.05,0.02,63,0.24955104656474436,0.21108713797926262,-0.10449580112450951,-0.29243152296906316,-0.11387616026200109,0.20272110748985042,0.20205752047882117,0.9970563958388001,64.17460317460318,0.19122650604346814,0.808773493956532,1.0,1.0,0.0,0.0,0.6863930161094199,0.2738021229555419,0.3363930162582576,0.0383259352927198,0.6132149646835168,0.008248308627542165,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.1,0.0,63,0.24089966350960257,0.200666068760347,-0.11111020737980459,-0.2970379917170515,-0.11988752681716774,0.20501899857767872,0.5187171906397693,2.5534939607804708,64.42857142857143,0.19230965541238024,0.8076903445876198,1.0,1.0,0.0,0.0,0.6844204818389574,0.2642044295377042,0.33442048201164487,0.038348389994097155,0.6135742399055545,0.00825597857006891,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.1,0.02,63,0.25912790680648357,0.21315573438869756,-0.10409508014703972,-0.28656947530220445,-0.10673815930852482,0.20476758500917824,0.2040916388584945,0.9970960129383422,64.07936507936508,0.19182919514213623,0.8081708048578637,1.0,1.0,0.0,0.0,0.6859323042162244,0.2658306887195863,0.33593230446243555,0.0384660424619188,0.6154566793907008,0.008255987792294214,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.2,0.0,63,0.22716318519594147,0.1903760884747609,-0.10950263257787352,-0.30527545442388226,-0.12951457721818316,0.20424111208839757,0.5192515728134616,2.547359683541752,63.904761904761905,0.19446497253532702,0.805535027464673,1.0,1.0,0.0,0.0,0.682521436831704,0.25504304577691095,0.33252143693661307,0.038117779800665615,0.6098844768106498,0.008240111803145262,0.0,1.0
test,industry_size_liquidity_vol_mom,20,0.2,0.02,63,0.256936861109645,0.21496694301145075,-0.10800503825154517,-0.2885152025691532,-0.10859036608362549,0.20277016553638685,0.20205439644275075,0.9969204835318198,64.0,0.1947334808757933,0.8052665191242068,1.0,1.0,0.0,0.0,0.68447916985319,0.2554939371728964,0.3344791699872638,0.03842349669241549,0.6147759470786478,0.008240111870536242,0.0,1.0
validation,industry_size_liquidity_vol_mom,20,0.0,0.0,94,-0.1492150952200374,-0.0712425889986286,-0.3716328099393499,-0.03872527230710232,-0.16407612359854362,0.0995248383575789,0.19542712247729824,1.980631265155789,77.77659574468085,0.19846095448992196,0.8015390455100779,1.0,1.0,0.0,0.0,0.7275334478967361,0.3066462319641459,0.3775334480869021,0.052256700982964324,0.8361072157274292,0.006988448700158003,0.0,1.0
validation,industry_size_liquidity_vol_mom,20,0.0,0.02,94,-0.144154889094968,-0.06770141640725254,-0.3685273246082187,-0.032818710073328816,-0.1588969446830486,0.09819652778678985,0.0982010456370429,1.000057672157571,77.55319148936171,0.19857384141248394,0.8014261585875162,1.0,1.0,0.0,0.0,0.7308773362165806,0.3065241077818839,0.38087733723792394,0.05310235554982428,0.8496376887971885,0.006989809743920871,0.0,1.0
