split,trade_date,k,num_buckets,k_per_bucket,rotated_bucket,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,filled_turnover,desired_turnover,position_count,buy_rejects,sell_rejects,active_buckets,portfolio_nav
test,20250205,20,5,4,0,86,0.45177107642680187,0.45171095881427686,0.062453273221866556,0.07877092480395399,0.3892576855924103,0.3729400340103229,6.011761252500001e-05,0.040078408350000004,1.0,4,0,0,1,10000000.0
test,20250206,20,5,4,1,83,0.032385736472194324,0.03233383338887232,0.0261279868099189,0.01359107163309298,0.006205846578953421,0.018742761755779342,5.1903083322e-05,0.034602055548,1.0,8,0,0,2,10000000.0
test,20250207,20,5,4,2,85,0.009261425955141346,0.009219082096948846,0.018832056960079502,0.007521357919549188,-0.009612974863130655,0.0016977241773996586,4.23438581925e-05,0.028229238795,1.0,12,0,0,3,10000000.0
test,20250210,20,5,4,3,87,0.19786758555397665,0.19781728387718567,0.01957001510204326,0.018876028578312512,0.1782472687751424,0.17894125529887317,5.0301676791000004e-05,0.033534451194,1.0,16,0,0,4,10000000.0
test,20250211,20,5,4,4,86,-0.0258615416421967,-0.0259054936604122,0.013862196713349206,0.0028022112229283904,-0.039767690373761405,-0.02870770488334059,4.395201821549999e-05,0.029301345476999995,1.0,20,0,0,5,10000000.0
test,20250212,20,5,4,0,86,-0.039833622538773344,-0.039869013057954344,0.016070513944185683,0.009214541812112396,-0.05593952700214003,-0.04908355487006674,3.5390519181e-05,0.023593679454,1.1197412104565276,21,0,1,5,10000000.0
test,20250213,20,5,4,1,86,-0.0022750287708762523,-0.0023135515894467523,0.022713400266956896,0.029589471214679714,-0.025026951856403648,-0.03190302280412646,3.852281857049999e-05,0.025681879046999995,0.8822730440291587,21,0,0,5,10000000.0
test,20250214,20,5,4,2,85,0.11270613602483939,0.11266198858539839,0.029889156241885928,0.031776255173635484,0.08277283234351246,0.0808857334117629,4.4147439441e-05,0.029431626294,0.875608930460358,21,0,0,5,10000000.0
test,20250217,20,5,4,3,83,0.10377680257531699,0.10368462936445068,0.017797821554438098,0.030769861133263344,0.08588680781001258,0.07291476823118734,9.217321086630697e-05,0.061448807244204644,0.9318866097797155,22,0,0,5,10000000.0
test,20250218,20,5,4,4,86,0.19738043540588862,0.19735570451843712,0.02658086277945193,0.04707932044146434,0.1707748417389852,0.15027638407697277,2.47308874515e-05,0.016487258301,0.9069193761719627,23,0,0,5,10000000.0
