split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250205,10,1.5,15,85,0.055569999729613156,0.05547567521227466,0.062453273221866556,0.06362453581957331,-0.006977598009591898,-0.00814886060729865,9.43245173385e-05,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.062883011559,0.062883011559,0.0,0,0,10,10,2.220446049250313e-16
test,20250205,10,2.0,20,85,0.055569999729613156,0.05547567521227466,0.062453273221866556,0.06362453581957331,-0.006977598009591898,-0.00814886060729865,9.43245173385e-05,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.062883011559,0.062883011559,0.0,0,0,10,10,2.220446049250313e-16
test,20250205,10,2.5,25,85,0.055569999729613156,0.05547567521227466,0.062453273221866556,0.06362453581957331,-0.006977598009591898,-0.00814886060729865,9.43245173385e-05,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.062883011559,0.062883011559,0.0,0,0,10,10,2.220446049250313e-16
test,20250205,20,1.5,30,85,0.06646208408417177,0.06628662852317027,0.062453273221866556,0.06362453581957331,0.0038333553013037147,0.0026620927035969633,0.00017545556100149998,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.116970374001,0.116970374001,0.0,0,0,20,20,0.0
test,20250205,20,2.0,40,85,0.06646208408417177,0.06628662852317027,0.062453273221866556,0.06362453581957331,0.0038333553013037147,0.0026620927035969633,0.00017545556100149998,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.116970374001,0.116970374001,0.0,0,0,20,20,0.0
test,20250205,20,2.5,50,85,0.06646208408417177,0.06628662852317027,0.062453273221866556,0.06362453581957331,0.0038333553013037147,0.0026620927035969633,0.00017545556100149998,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.116970374001,0.116970374001,0.0,0,0,20,20,0.0
test,20250205,30,1.5,45,85,0.07867171434732835,0.07843533624199385,0.062453273221866556,0.06362453581957331,0.015982063020127293,0.014810800422420542,0.0002363781053345,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.15758540355633333,0.15758540355633333,0.0,0,0,29,30,0.0
test,20250205,30,2.0,60,85,0.07867171434732835,0.07843533624199385,0.062453273221866556,0.06362453581957331,0.015982063020127293,0.014810800422420542,0.0002363781053345,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.15758540355633333,0.15758540355633333,0.0,0,0,29,30,0.0
test,20250205,30,2.5,75,85,0.07867171434732835,0.07843533624199385,0.062453273221866556,0.06362453581957331,0.015982063020127293,0.014810800422420542,0.0002363781053345,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.15758540355633333,0.15758540355633333,0.0,0,0,29,30,0.0
test,20250212,10,1.5,15,86,0.009818989448729585,0.009710802615236585,0.016070513944185683,0.009214541812112396,-0.006359711328949098,0.0004962608031241888,0.00010818683349299998,10.0,5.0,10000000.0,0.03,1.6267090083340583,0.07212455566199999,0.012634725038999999,0.059489830623000006,0,0,15,15,0.0
test,20250212,10,2.0,20,86,0.009541017759898825,0.009437495998681825,0.016070513944185683,0.009214541812112396,-0.006633017945503857,0.0002229541865694292,0.00010352176121699998,10.0,5.0,10000000.0,0.03,1.4267090083340581,0.06901450747799999,0.009524676854999999,0.059489830623000006,0,0,14,14,0.0
test,20250212,10,2.5,25,86,0.009541017759898825,0.009437495998681825,0.016070513944185683,0.009214541812112396,-0.006633017945503857,0.0002229541865694292,0.00010352176121699998,10.0,5.0,10000000.0,0.03,1.4267090083340581,0.06901450747799999,0.009524676854999999,0.059489830623000006,0,0,14,14,0.0
test,20250212,20,1.5,30,86,0.011021250837213548,0.010807427615454548,0.016070513944185683,0.009214541812112396,-0.0052630863287311345,0.001592885803342152,0.00021382322175899997,10.0,5.0,10000000.0,0.03,1.3625433917851495,0.142548814506,0.034335542448,0.108213272058,0,0,26,26,2.220446049250313e-16
test,20250212,20,2.0,40,86,0.011021250837213548,0.010807427615454548,0.016070513944185683,0.009214541812112396,-0.0052630863287311345,0.001592885803342152,0.00021382322175899997,10.0,5.0,10000000.0,0.03,1.3625433917851495,0.142548814506,0.034335542448,0.108213272058,0,0,26,26,2.220446049250313e-16
