split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250102,20,2.0,40,87,-0.015421279271231039,-0.015464872140468539,-0.025088410239999304,-0.019390893977240455,0.009623538099530765,0.003926021836771916,4.359286923749999e-05,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.029061912824999994,0.029061912824999994,0.0,0,0,20,20,0.0
test,20250109,20,2.0,40,87,0.027689300662896696,0.027621283840868607,0.022325852692530734,0.024659542717886906,0.005295431148337873,0.0029617411229817016,6.801682202808738e-05,10.0,5.0,10000000.0,0.03,0.9176293758977652,0.04534454801872492,0.029152753755,0.01619179426372493,0,0,23,24,1.1102230246251565e-16
test,20250116,20,2.0,40,86,0.0023887271888944294,0.0022924791533599294,0.025274152494888513,0.014374691503525336,-0.022981673341528584,-0.012082212350165407,9.624803553449997e-05,10.0,5.0,10000000.0,0.03,1.032747505634595,0.06416535702299998,0.040637720496,0.023527636527,1,0,27,27,4.440892098500626e-16
test,20250123,20,2.0,40,87,0.10854723548237198,0.10841087523795545,0.04328757587444709,0.0664450991056843,0.06512329936350836,0.04196577613227115,0.00013636024441652798,10.0,5.0,10000000.0,0.03,1.2840159379558735,0.09090682961101866,0.026463159147000002,0.06444367046401865,0,0,34,34,4.440892098500626e-16
test,20250207,20,2.0,40,87,0.07571658340238985,0.07553387652216166,0.014432909247593217,0.009023670995644098,0.06110096727456844,0.06651020552651757,0.0001827068802281822,10.0,5.0,10000000.0,0.03,1.5344995831591495,0.12180458681878814,0.033156294329999995,0.08864829248878812,0,0,36,37,0.0
test,20250214,20,2.0,40,84,0.02011728838783614,0.019991370880775974,0.016871284862258973,0.03130105453877853,0.0031200860185170015,-0.011309683658002556,0.00012591750706016422,10.0,5.0,10000000.0,0.03,1.4271077830796108,0.08394500470677614,0.03527971623,0.048665288476776154,0,2,34,36,3.3306690738754696e-16
test,20250221,20,2.0,40,85,-0.03146665554277711,-0.03164016250942121,-0.046884088921163025,-0.042807020124467986,0.015243926411741812,0.011166857615046773,0.00017350696664410187,10.0,5.0,10000000.0,0.03,1.4253074515384152,0.11567131109606792,0.025391664815999998,0.09027964628006793,0,1,35,36,0.0
test,20250228,20,2.0,40,87,0.015517464173951286,0.015350715242670556,0.013087965242455368,0.027513796445918982,0.002262750000215188,-0.012163081203248426,0.00016674893128072884,10.0,5.0,10000000.0,0.03,1.3491057884382418,0.11116595418715255,0.023477452741125147,0.08768850144602743,0,0,34,35,2.220446049250313e-16
test,20250307,20,2.0,40,87,-0.008188384500298762,-0.008291240469276262,0.00706423229089137,0.002452065525545062,-0.015355472760167632,-0.010743305994821324,0.0001028559689775,10.0,5.0,10000000.0,0.03,1.1324431456828734,0.068570645985,0.018663373857000003,0.049907272128,0,0,36,36,0.0
test,20250314,20,2.0,40,86,-0.03756388661982354,-0.03766520509272047,-0.035221977517760794,-0.03660928954803166,-0.0024432275749596763,-0.0010559155446888124,0.00010131847289693382,10.0,5.0,10000000.0,0.03,1.3114765740618375,0.06754564859795588,0.020190898851000002,0.04735474974695589,0,0,37,37,2.220446049250313e-16
test,20250321,20,2.0,40,84,0.002777613432361542,0.0026968888761247584,-0.012280536548130883,-0.017360992238976275,0.01497742542425564,0.020057881115101032,8.07245562367837e-05,10.0,5.0,10000000.0,0.03,1.1500397462187493,0.05381637082452247,0.022340180202,0.03147619062252247,0,2,34,36,1.1102230246251565e-16
test,20250328,20,2.0,40,88,-0.17008450174299514,-0.17018942767967613,-0.14669283680517808,-0.13853690790412185,-0.02349659087449804,-0.03165251977555428,0.00010492593668100002,10.0,5.0,10000000.0,0.03,1.3953884915848456,0.06995062445400001,0.03683744284499999,0.03311318160899999,0,3,39,42,0.0
test,20250407,20,2.0,40,78,0.07582150375835056,0.07569234532468615,0.05190031953527541,0.06795167785137261,0.02379202578941074,0.007740667473313534,0.00012915843366441098,10.0,5.0,10000000.0,0.03,1.2650023994925612,0.08610562244294065,0.04401787186799999,0.04208775057494064,0,4,34,41,3.3306690738754696e-16
test,20250414,20,2.0,40,90,-0.010649660991700699,-0.010735117647829572,0.005394476281327165,-0.0023487991678924395,-0.016129593929156735,-0.008386318479937132,8.545665612887198e-05,10.0,5.0,10000000.0,0.03,1.2088848544037787,0.05697110408591465,0.024682106564999997,0.03228899752091464,0,2,38,40,0.0
test,20250421,20,2.0,40,91,0.0014375428966568271,0.0013398780969274304,0.0003231408233126398,-0.01385649812713935,0.0010167372736147905,0.01519637622406678,9.766479972939685e-05,10.0,5.0,10000000.0,0.03,1.3164342112415972,0.06510986648626456,0.025909321824,0.03920054466226455,0,1,41,42,0.0
