split,trade_date,risk_control,k,style_penalty,turnover_penalty,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,desired_turnover,filled_turnover,buy_reject_count,sell_reject_count,partial_fill_count,position_count,avg_abs_control_exposure_z,avg_abs_full_style_exposure_z
test,20250102,none,20,0.0,0.0,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.0,0.27208422434573454
test,20250102,none,20,0.0,0.02,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.0,0.27208422434573454
test,20250102,none,20,0.1,0.0,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.0,0.27208422434573454
test,20250102,none,20,0.1,0.02,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.0,0.27208422434573454
test,20250102,industry_size,20,0.0,0.0,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.284610281478904,0.27208422434573454
test,20250102,industry_size,20,0.0,0.02,-0.020646649872596116,-0.020673016859774115,-0.025088410239999304,-0.019390893977240458,0.004415393380225188,-0.0012821228825336574,2.6366987177999997e-05,1.0000000000000002,0.017577991451999998,0,0,20,20,0.284610281478904,0.27208422434573454
test,20250102,industry_size,20,0.1,0.0,-0.019636965727260234,-0.019663896524451233,-0.025088410239999304,-0.019390893977240458,0.005424513715548071,-0.0002730025472107746,2.6930797191000002e-05,1.0000000000000002,0.017953864794,0,0,20,20,0.27969681085133385,0.26541272839937585
test,20250102,industry_size,20,0.1,0.02,-0.019636965727260234,-0.019663896524451233,-0.025088410239999304,-0.019390893977240458,0.005424513715548071,-0.0002730025472107746,2.6930797191000002e-05,1.0000000000000002,0.017953864794,0,0,20,20,0.27969681085133385,0.26541272839937585
test,20250109,none,20,0.0,0.0,0.03510021449868889,0.03502800418483489,0.022325852692530734,0.024659542717886906,0.012702151492304158,0.010368461466947986,7.221031385399999e-05,1.1429194415789845,0.048140209235999994,0,0,29,29,0.0,0.25619104950718874
test,20250109,none,20,0.0,0.02,0.03474158073049458,0.03468245594178708,0.022325852692530734,0.024659542717886906,0.012356603249256345,0.010022913223900174,5.91247887075e-05,0.9336190401510727,0.039416525805,0,0,26,26,0.0,0.26156715689119636
