split,k,window_index,window_start,window_end,num_days,cumulative_return,cumulative_bench_return,excess_vs_bench_10d,daily_mean,ir,compliance_rate,avg_position_count,avg_position_ratio,total_cost,win_rate_vs_bench,best_daily_return,worst_daily_return,final_cumulative
test,10,0,20250205,20250218,10,0.7293891244550794,0.27519689744261067,0.45419222701246875,0.058935187217961635,0.7235213511970802,1.0,10.0,1.0,0.00013171654795950002,0.7,0.2562410697105987,-0.009162644742309206,1.7293891244550794
test,10,1,20250212,20250225,10,0.10996692541656894,0.05291163377638752,0.057055291640181416,0.010779346053034256,0.42290139087434175,1.0,10.0,1.0,0.00014507912974950004,0.6,0.04339467306566657,-0.03353613575781159,1.109966925416569
test,10,2,20250219,20250304,10,-0.005591643369370458,-0.057469171430476584,0.051877528061106126,-0.00012990567646202107,-0.004211137001255535,1.0,10.0,1.0,0.00011064610585350001,0.7,0.047825434515390966,-0.050830425929165875,0.9944083566306295
test,10,3,20250226,20250311,10,-0.024823852211691366,-0.0012288261973423253,-0.02359502601434904,-0.002293282208686956,-0.10525799275285459,1.0,10.0,1.0,0.00015124907502899997,0.4,0.02581454923455661,-0.05074337320789419,0.9751761477883086
test,10,4,20250305,20250318,10,-0.11505087251845614,-0.06769370334937341,-0.047357169169082725,-0.011455635358011893,-0.294450773087288,1.0,10.0,1.0,0.00015421082717700002,0.5,0.044754095589077274,-0.06607830683728295,0.8849491274815439
test,10,5,20250312,20250325,10,-0.384689611219306,-0.17133536535248017,-0.21335424586682583,-0.046986057218512255,-1.5784020394501634,1.0,10.0,1.0,9.745123992300002e-05,0.0,-0.0008650221406521555,-0.08726553989062893,0.615310388780694
test,10,6,20250319,20250401,10,-0.4589290989056124,-0.4406456756227125,-0.01828342328289989,-0.058584791765233034,-1.3088015460509679,1.0,10.0,1.0,6.520696394399999e-05,0.3,-0.014389047338352109,-0.14718078005827678,0.5410709010943876
test,10,7,20250326,20250409,10,-0.4077552615411051,-0.3590263718437965,-0.0487288896973086,-0.04794485625329314,-0.5960229615764614,1.0,10.0,1.0,4.61447108865e-05,0.3,0.07179375815588641,-0.17175139742921042,0.5922447384588949
test,10,8,20250402,20250416,10,0.05346230749585468,0.054265718419243214,-0.0008034109233885367,0.006922327938198988,0.11452434723023201,1.0,10.0,1.0,3.8217176658e-05,0.5,0.07934546880154206,-0.12902743091009092,1.0534623074958547
test,10,9,20250410,20250423,10,-0.0028891233916376047,0.05968747101083527,-0.06257659440247287,-4.020362243633939e-05,-0.001705971051788764,1.0,10.0,1.0,5.37122444985e-05,0.3,0.03595142176910091,-0.032759948849969515,0.9971108766083624
test,10,10,20250417,20250430,10,0.24157227352938548,0.23334593320656105,0.008226340322824433,0.022417035614572887,0.6401654667662289,1.0,10.0,1.0,3.4564371669e-05,0.5,0.0642951840433228,-0.033791530295572574,1.2415722735293855
test,10,11,20250424,20250512,10,0.19831571927553182,0.24930287341521717,-0.05098715413968535,0.018921396719851113,0.49135701200402176,1.0,10.0,1.0,3.678889013999999e-05,0.3,0.062207286833774425,-0.05549558442819448,1.1983157192755318
test,10,12,20250506,20250519,10,-0.23530784258685034,0.006300070793013424,-0.24160791337986376,-0.02629080552652857,-1.3263807451968894,1.0,10.0,1.0,6.41247410205e-05,0.0,0.01607467000181162,-0.06201770171213997,0.7646921574131497
test,10,13,20250513,20250526,10,-0.22492336848972383,-0.12075437119030208,-0.10416899729942175,-0.025078789692495766,-1.9173463602416352,1.0,10.0,1.0,4.21996195755e-05,0.3,-0.0045425467756495695,-0.03867743382032397,0.7750766315102762
test,10,14,20250520,20250603,10,0.04474517846261872,0.017542926437738027,0.02720225202488069,0.004806485776233528,0.15720567058990653,1.0,10.0,1.0,2.5571104964999996e-05,0.6,0.05304957029347082,-0.04275301673080259,1.0447451784626187
test,10,15,20250527,20250610,10,0.10870207308121338,0.15107364240036958,-0.0423715693191562,0.010586778121043137,0.4810182988509141,1.0,10.0,1.0,1.7594035033499998e-05,0.4,0.05481748087572012,-0.025332788203725372,1.1087020730812134
test,10,16,20250604,20250617,10,-0.0853602563210959,-0.014338961269674155,-0.07102129505142174,-0.008730942343331792,-0.4780467972449769,1.0,10.0,1.0,3.2109207282e-05,0.3,0.021616900965150124,-0.04216022701300383,0.9146397436789041
test,10,17,20250611,20250624,10,0.16342483093697058,0.21730902238221117,-0.05388419144524059,0.015762346611178348,0.4649569061833659,1.0,10.0,1.0,2.42499578355e-05,0.3,0.0589654974229665,-0.028513195129799718,1.1634248309369706
test,10,18,20250618,20250701,10,0.1769771689928663,0.3168002697826475,-0.13982310078978122,0.01653410214595028,1.0704222357517135,1.0,10.0,1.0,2.0273860610999996e-05,0.5,0.041746678103082864,-0.0074232168481447565,1.1769771689928663
test,10,19,20250625,20250708,10,0.11624926935432067,0.16680872020132176,-0.050559450847001086,0.011088133662100217,1.3513063439469728,1.0,10.0,1.0,2.1470797206e-05,0.3,0.021158072386988306,-0.0009376182886423612,1.1162492693543207
test,10,20,20250702,20250715,10,0.1723277307764539,0.30985476034152803,-0.13752702956507412,0.016143356169454504,0.9920803216122422,1.0,10.0,1.0,2.7704748176999996e-05,0.1,0.0449974324147477,-0.010223673139001401,1.172327730776454
test,10,21,20250709,20250722,10,0.7661465394257174,0.3646060384472545,0.40154050097846294,0.058695000332021484,2.9634345383294787,1.0,10.0,1.0,2.8616740622999993e-05,0.9,0.09970057319640288,0.0216870993692466,1.7661465394257174
test,10,22,20250716,20250729,10,0.27636461841315607,0.1349398452359516,0.14142477317720448,0.025204013779126556,0.7467544364767789,1.0,10.0,1.0,6.468393650850001e-05,0.8,0.06875051462524702,-0.015572392188447285,1.276364618413156
test,10,23,20250723,20250805,10,0.007019704153792716,0.02116090172898799,-0.014141197575195275,0.0008721588023976122,0.044647404910363495,1.0,10.0,1.0,0.00013886055997199998,0.5,0.02999258372744618,-0.03417342765779388,1.0070197041537927
test,10,24,20250730,20250812,10,0.4452623900270707,0.5056363408728073,-0.0603739508457366,0.03808460565734854,1.0401979504207672,1.0,10.0,1.0,8.9791681158e-05,0.5,0.10781759505502668,0.00779457076330233,1.4452623900270707
test,10,25,20250806,20250819,10,0.38121833222514345,0.8742380997326664,-0.49301976750752297,0.0330186253031821,1.5649804540090764,1.0,10.0,1.0,4.32469632465e-05,0.1,0.06239344055447214,-0.0034124806385281326,1.3812183322251435
test,10,26,20250813,20250826,10,0.46173493676724475,0.7856132285295756,-0.32387829176233085,0.03900651015216989,1.4558748657879343,1.0,10.0,1.0,5.0445306405e-05,0.3,0.06618134676730221,-0.0100542801028826,1.4617349367672448
test,10,27,20250820,20250902,10,0.06333780822727708,0.43503332455019694,-0.37169551632291986,0.007826862655241277,0.12937202797493902,1.0,10.0,1.0,5.553551316599999e-05,0.3,0.07957578828198203,-0.09644452714504302,1.063337808227277
