split,k,window_index,window_start,window_end,num_days,cumulative_return,cumulative_bench_return,excess_vs_bench_10d,daily_mean,ir,compliance_rate,avg_position_count,avg_position_ratio,total_cost,win_rate_vs_bench,best_daily_return,worst_daily_return,final_cumulative
test,10,0,20250205,20250218,10,0.10005696500932393,0.27519689744261067,-0.17513993243328674,0.010363289058450994,0.2432697962041104,1.0,10.0,1.0,4.7081941191e-05,0.3,0.11241161909407252,-0.038091975807777845,1.100056965009324
test,10,1,20250212,20250225,10,0.06892890095455662,0.05291163377638752,0.016017267178169092,0.007155383617116043,0.22242419863802504,1.0,10.0,1.0,4.5939663702000004e-05,0.6,0.049690001380080936,-0.05180403274934347,1.0689289009545566
test,10,2,20250219,20250304,10,0.038709887793714204,-0.057469171430476584,0.09617905922419079,0.003924133663131561,0.24234888653773382,1.0,10.0,1.0,2.5994077537499996e-05,0.7,0.020357445489572523,-0.033433519769785765,1.0387098877937142
test,10,3,20250226,20250311,10,0.04238446718022382,-0.0012288261973423253,0.04361329337756614,0.004270207595106984,0.2723197169299939,1.0,10.0,1.0,4.752735691499999e-05,0.7,0.027793623615100137,-0.024638642059598273,1.0423844671802238
test,10,4,20250305,20250318,10,-0.0004990755796214774,-0.06769370334937341,0.06719462776975194,0.00041864012698301575,0.01302512370254883,1.0,10.0,1.0,0.00013088115472500002,0.7,0.03667397708908266,-0.04933720930828962,0.9995009244203785
test,10,5,20250312,20250325,10,-0.284353024115526,-0.17133536535248017,-0.11301765876304581,-0.03209991120869379,-0.7675255790633481,1.0,10.0,1.0,4.52472730605e-05,0.3,0.03934342289317229,-0.0886699998051936,0.715646975884474
test,10,6,20250319,20250401,10,-0.5224474223809101,-0.4406456756227125,-0.08180174675819762,-0.06955465959183285,-1.1976612494956573,1.0,10.0,1.0,5.78844963945e-05,0.1,-0.009227841452338056,-0.16722778348101655,0.4775525776190898
test,10,7,20250326,20250409,10,-0.2689257459581099,-0.3590263718437965,0.09010062588568657,-0.028465723287941586,-0.39895087173070554,1.0,10.0,1.0,4.614838053300001e-05,0.7,0.07581919047376437,-0.14020222385155728,0.7310742540418901
test,10,8,20250402,20250416,10,0.1915194936593283,0.054265718419243214,0.13725377524008509,0.01837554657449763,0.46654507019525504,1.0,10.0,1.0,6.451088800500001e-05,0.8,0.08164594219582573,-0.06706507563607284,1.1915194936593283
test,10,9,20250410,20250423,10,0.08967012438422506,0.05968747101083527,0.02998265337338979,0.008716165788011297,0.6085929327902587,1.0,10.0,1.0,7.89866788545e-05,0.7,0.02987246786373478,-0.016149352491957408,1.089670124384225
test,10,10,20250417,20250430,10,0.14498033357215778,0.23334593320656105,-0.08836559963440327,0.01393982652299352,0.528511837651226,1.0,10.0,1.0,3.3229226376e-05,0.2,0.05284677853596032,-0.026746160253953877,1.1449803335721578
test,10,11,20250424,20250512,10,0.31444311837312267,0.24930287341521717,0.06514024495790549,0.02806923998353649,0.9962241212559334,1.0,10.0,1.0,4.9125473766e-05,0.9,0.06471976696893524,-0.027231074040755195,1.3144431183731227
test,10,12,20250506,20250519,10,-0.1500809867787748,0.006300070793013424,-0.15638105757178822,-0.01598535317669807,-0.8949548137304745,1.0,10.0,1.0,5.162093383950001e-05,0.1,0.023163319538944266,-0.041739221625313266,0.8499190132212252
test,10,13,20250513,20250526,10,-0.00725960340133236,-0.12075437119030208,0.11349476778896972,-0.0006649661202926604,-0.056286545801517936,1.0,10.0,1.0,1.6950065125499996e-05,1.0,0.010260710635022803,-0.02304091980922175,0.9927403965986676
test,10,14,20250520,20250603,10,0.04854116588905932,0.017542926437738027,0.030998239451321297,0.0050749826869605896,0.18944322132066116,1.0,10.0,1.0,1.4891081561999998e-05,0.6,0.038557432796143314,-0.038018514090986125,1.0485411658890593
test,10,15,20250527,20250610,10,0.0319085050656005,0.15107364240036958,-0.11916513733476908,0.0034502898799475858,0.13212418866181178,1.0,10.0,1.0,1.1973584205000001e-05,0.3,0.04333684980286895,-0.027821333366979294,1.0319085050656005
test,10,16,20250604,20250617,10,-0.07644239255831631,-0.014338961269674155,-0.06210343128864215,-0.007696576430346382,-0.3481552267629296,1.0,10.0,1.0,3.9220205724000004e-05,0.4,0.015353047682925013,-0.045282753311279844,0.9235576074416837
test,10,17,20250611,20250624,10,-0.030589854372223613,0.21730902238221117,-0.24789887675443478,-0.002332475228449349,-0.056448462654435094,1.0,10.0,1.0,3.34830253185e-05,0.0,0.05626673882255423,-0.05264120740476341,0.9694101456277764
test,10,18,20250618,20250701,10,0.2003466734557231,0.3168002697826475,-0.11645359632692442,0.01859552226457565,0.9603290761710926,1.0,10.0,1.0,4.103498961e-05,0.3,0.04041818327474416,-0.017649760055347928,1.200346673455723
test,10,19,20250625,20250708,10,0.12446866832623438,0.16680872020132176,-0.04234005187508738,0.011877293764548297,0.903292901797944,1.0,10.0,1.0,5.7844264585500004e-05,0.3,0.029696126029554404,-0.011886176148941807,1.1244686683262344
test,10,20,20250702,20250715,10,0.19753552683287268,0.30985476034152803,-0.11231923350865536,0.018481117448910733,0.7216094208182766,1.0,10.0,1.0,6.0707692971e-05,0.3,0.05536824402931467,-0.02663139182465894,1.1975355268328727
test,10,21,20250709,20250722,10,0.2018878319730435,0.3646060384472545,-0.16271820647421098,0.018562022550124225,7.736505182994145,1.0,10.0,1.0,2.0900258275499996e-05,0.0,0.021089069894988047,0.014678617762204938,1.2018878319730435
test,10,22,20250716,20250729,10,0.023861702524480055,0.1349398452359516,-0.11107814271147154,0.002418508065956155,0.21315277366432084,1.0,10.0,1.0,2.7304365874499996e-05,0.3,0.022177534403858352,-0.01386983682495341,1.02386170252448
test,10,23,20250723,20250805,10,-0.009092455320325987,0.02116090172898799,-0.030253357049313978,-0.0007368525729596058,-0.037256360044473545,1.0,10.0,1.0,3.7427345271e-05,0.4,0.02708534785361225,-0.0281496789912397,0.990907544679674
test,10,24,20250730,20250812,10,0.24426355333311056,0.5056363408728073,-0.2613727875396967,0.022166723330944105,1.7327014641179512,1.0,10.0,1.0,2.4452741754e-05,0.3,0.043340516313929815,0.004237459355527839,1.2442635533331106
test,10,25,20250806,20250819,10,0.9965538205963951,0.8742380997326664,0.12231572086372866,0.07191913860222528,2.58656807899311,1.0,10.0,1.0,7.4614909005e-05,0.7,0.09995985800940077,0.018860110141428146,1.996553820596395
test,10,26,20250813,20250826,10,0.6243098507240545,0.7856132285295756,-0.16130337780552106,0.050119256258940516,1.6159849762313827,1.0,10.0,1.0,0.0001292786974215,0.4,0.09503454932527652,-0.007014883107499412,1.6243098507240545
test,10,27,20250820,20250902,10,-0.06821134908037152,0.43503332455019694,-0.5032446736305685,-0.006033653740168057,-0.1274156437335334,1.0,10.0,1.0,0.00011749906126349998,0.1,0.07008724870589106,-0.056901976264468836,0.9317886509196285
test,10,28,20250827,20250909,10,-0.10675946756277954,0.3150549560443261,-0.42181442360710564,-0.011070639150751979,-0.5952171732241431,1.0,10.0,1.0,7.24229133345e-05,0.0,0.029992276608412218,-0.03832375022471206,0.8932405324372205
test,10,29,20250903,20250916,10,0.12750478395848486,0.42319182700388414,-0.2956870430453993,0.01240469774834976,0.45436287798875585,1.0,10.0,1.0,3.352248222749999e-05,0.2,0.04879863738680366,-0.03353299769148639,1.1275047839584849
test,10,30,20250910,20250923,10,0.2779830130283747,0.34067513681219097,-0.06269212378381628,0.025040482588776475,1.1451066159299275,1.0,10.0,1.0,5.1431387071500004e-05,0.5,0.0576248629985116,-0.001899929321615372,1.2779830130283747
test,10,31,20250917,20250930,10,-0.16135858730750618,-0.0349713234474206,-0.12638726386008559,-0.017139294118589287,-0.669601024457685,1.0,10.0,1.0,7.424624742749999e-05,0.4,0.012045570613312044,-0.06928837868341514,0.8386414126924938
test,10,32,20250924,20251015,10,-0.20202696007400556,-0.22633687855827422,0.024309918484268667,-0.021939769278915985,-0.7665966241392921,1.0,10.0,1.0,7.2629416224e-05,0.6,0.023875215117247026,-0.06183823618933434,0.7979730399259944
test,10,33,20251009,20251022,10,0.7073172748294156,0.2375790535597071,0.46973822126970854,0.05778283354378448,0.719821625855294,1.0,10.0,1.0,0.00013361800471649996,0.7,0.16156255970580893,-0.07564999937307487,1.7073172748294156
test,10,34,20251016,20251029,10,0.44957835746486574,0.2557657040939447,0.19381265337092102,0.043887471908282336,0.3750100330573765,1.0,10.0,1.0,0.00018009882976949997,0.6,0.18497482469269488,-0.12161834805624401,1.4495783574648657
test,10,35,20251023,20251105,10,-0.29869093023192017,-0.049205381768252954,-0.24948554846366722,-0.032728927459585236,-0.4836814317132226,1.0,10.0,1.0,0.00037290955418549994,0.3,0.0782070126346437,-0.13754650040945285,0.7013090697680798
test,10,36,20251030,20251112,10,-0.19538169900262858,-0.09450296870290464,-0.10087873029972394,-0.02077053303994189,-0.5211061159434393,1.0,10.0,1.0,0.00037989167091299995,0.3,0.045898143510827404,-0.08930256138540471,0.8046183009973714
test,10,37,20251106,20251119,10,-0.2997899504765589,-0.25662442095712146,-0.04316552951943742,-0.034786772876911204,-1.589109522042444,1.0,10.0,1.0,0.00013974037145549997,0.3,-0.0014973339640775138,-0.06681612750944725,0.7002100495234411
test,10,38,20251113,20251126,10,-0.028040442427663792,-0.0761223752021909,0.0480819327745271,-0.0014715860513246533,-0.026729571453198046,1.0,10.0,1.0,0.00017323071182100003,0.5,0.06571609966219738,-0.07494120041176035,0.9719595575723362
test,10,39,20251120,20251203,10,0.8394736477524647,0.3216381636947123,0.5178354840577524,0.06296663032433501,3.7047689526368575,1.0,10.0,1.0,0.000170390998728,1.0,0.08450805228773126,0.028048363385303775,1.8394736477524647
test,10,40,20251127,20251210,10,0.680994822350856,0.14894644529560308,0.5320483770552529,0.0541393766046949,1.240749847380958,1.0,10.0,1.0,0.00016032177032399998,1.0,0.1084677556284449,-0.033697838240092794,1.680994822350856
test,10,41,20251204,20251217,10,0.060157832874550454,0.04155619059076732,0.018601642283783137,0.0064524552439551046,0.17784468999892705,1.0,10.0,1.0,0.0002337504949485,0.6,0.05422216028031871,-0.0603269783515166,1.0601578328745505
test,10,42,20251211,20251224,10,0.03852072958971675,0.13774441500607804,-0.09922368541636128,0.004118174585625764,0.1520071349964154,1.0,10.0,1.0,0.00024127834531499997,0.2,0.037516421660339236,-0.04289728771130716,1.0385207295897168
test,10,43,20251218,20251231,10,0.3670825372273445,0.21954446135332284,0.14753807587402168,0.032001206047522594,1.3616677522843277,1.0,10.0,1.0,8.2279755081e-05,0.8,0.07810921620531351,-0.0017547763474723243,1.3670825372273445
test,10,44,20251225,20260109,10,0.020769145561876146,0.23026562993807187,-0.20949648437619572,0.002427349206836033,0.08481798617121222,1.0,10.0,1.0,0.0001556418084975,0.1,0.05217218010794287,-0.05388771252221968,1.0207691455618761
test,10,45,20260105,20260116,10,0.05318518869018951,0.023659817359658497,0.029525371330531014,0.005693575027315259,0.1721110692748585,1.0,10.0,1.0,0.00017212236976349996,0.6,0.048179147328998945,-0.0625160340058274,1.0531851886901895
test,10,46,20260112,20260123,10,-0.09514657354662237,-0.050800973663852056,-0.044345599882770315,-0.009714573135007346,-0.42910457808294583,1.0,10.0,1.0,0.00011050963436249998,0.4,0.021758736195149817,-0.042158288524527625,0.9048534264533776
test,10,47,20260119,20260130,10,0.16247609110339356,-0.07487627687913812,0.23735236798253168,0.016411517413182374,0.31319114225461897,1.0,10.0,1.0,0.000240924164526,0.8,0.1022089576412546,-0.09511783727760825,1.1624760911033936
test,10,48,20260126,20260206,10,0.008393810738776875,-0.04283891436223741,0.05123272510101429,0.0014607291526360497,0.03963975905146128,1.0,10.0,1.0,0.00037275729540300006,0.5,0.052199791066340664,-0.08250650529201148,1.0083938107387769
test,10,49,20260202,20260213,10,0.2918700690014129,0.052145105801937985,0.2397249631994749,0.026457491944300738,0.7693101901344136,1.0,10.0,1.0,0.000412871837553,0.7,0.08617679851203389,-0.02605246798654027,1.2918700690014129
test,10,50,20260209,20260302,10,0.14493715729748247,-0.13371885512541104,0.2786560124228935,0.01428358528216479,0.3737031475166686,1.0,10.0,1.0,0.00021687446785049997,0.8,0.06150764058455929,-0.046617858953234975,1.1449371572974825
test,10,51,20260224,20260309,10,-0.09595245066966018,0.02851425719070666,-0.12446670786036684,-0.009366682724741749,-0.24604051800221216,1.0,10.0,1.0,0.0002888896012605,0.4,0.030596202680079707,-0.08587305829407113,0.9040475493303398
test,10,52,20260303,20260316,10,0.3219493462202325,0.1459794925331559,0.17596985368707663,0.02899113556328773,0.729898967030943,1.0,10.0,1.0,0.00022720554599399998,0.5,0.08895073521086606,-0.033454576878256786,1.3219493462202325
test,10,53,20260310,20260323,10,0.02178781441598221,-0.0860577855203396,0.10784559993632181,0.0025405715337401243,0.0869938902877083,1.0,10.0,1.0,0.0001675528630965,0.8,0.044526313165606825,-0.039913171310630845,1.0217878144159822
test,10,54,20260317,20260330,10,-0.3305368341986934,-0.1554021859390241,-0.1751346482596693,-0.0391309808642882,-1.8755981902610577,1.0,10.0,1.0,0.0001432435894695,0.0,-0.004128796783139071,-0.0627345723664647,0.6694631658013066
test,10,55,20260324,20260407,10,-0.0022753580874022017,0.20684067570600084,-0.20911603379340304,0.0005176971843202149,0.012741520658133876,1.0,10.0,1.0,0.0001505532698865,0.1,0.05543929731453265,-0.06681964862122042,0.9977246419125978
test,10,56,20260331,20260414,10,0.7756451725600155,0.8084062108698575,-0.032761038309842005,0.05953827208512561,1.830509297410646,1.0,10.0,1.0,0.000136948977297,0.5,0.1188755640389609,0.030448914288707742,1.7756451725600155
test,10,57,20260408,20260421,10,0.26768601569800965,0.4061870700197292,-0.13850105432171955,0.025439431511540562,0.44641027670326855,1.0,10.0,1.0,0.000169709318316,0.4,0.09747487907241414,-0.07065064942020434,1.2676860156980096
test,10,58,20260415,20260428,10,-0.07122731105008595,0.19980143509351223,-0.2710287461435982,-0.005393914421495035,-0.08124563250954354,1.0,10.0,1.0,0.00019973745382050002,0.3,0.10722324469254817,-0.08821933350086922,0.928772688949914
test,10,59,20260422,20260508,10,0.4307414247362622,0.41688448347926066,0.013856941257001543,0.037004344039529444,1.0510273495472906,1.0,10.0,1.0,0.000152362574514,0.6,0.08805942640527648,-0.008438198159238722,1.4307414247362622
test,10,60,20260429,20260515,10,0.36326103680465405,0.17375214963422714,0.1895088871704269,0.03190748891905244,1.0096929221049733,1.0,10.0,1.0,0.000116304737202,0.6,0.09172610016611593,-0.02082646533657748,1.363261036804654
test,20,0,20250205,20250218,10,0.15773881117097388,0.27519689744261067,-0.11745808627163679,0.014873438433220665,0.8989613276462308,1.0,20.0,1.0,0.00012508894325249998,0.0,0.059520234733418054,-0.0009696324368267074,1.1577388111709739
test,20,1,20250212,20250225,10,0.11778619950023783,0.05291163377638752,0.06487456572385031,0.011604042125338703,0.38746747739423676,1.0,20.0,1.0,8.101424781450001e-05,0.7,0.046671399033660924,-0.052735292545765144,1.1177861995002378
test,20,2,20250219,20250304,10,-0.07789030573278466,-0.057469171430476584,-0.020421134302308075,-0.007748378805782261,-0.28946270699009263,1.0,20.0,1.0,5.8291219863e-05,0.3,0.02641740000518324,-0.05508472021642854,0.9221096942672153
