split,k,window_index,window_start,window_end,num_days,cumulative_return,cumulative_bench_return,excess_vs_bench_10d,daily_mean,ir,compliance_rate,avg_position_count,avg_position_ratio,total_cost,win_rate_vs_bench,best_daily_return,worst_daily_return,final_cumulative
test,10,0,20250205,20250218,10,-0.017939019974871573,0.27519689744261067,-0.29313591741748224,-0.0015835786314032003,-0.07061967094095441,1.0,10.0,1.0,3.257364108599999e-05,0.0,0.040940987820890964,-0.030123613930036555,0.9820609800251284
test,10,1,20250212,20250225,10,0.042857607980125056,0.05291163377638752,-0.010054025796262467,0.004375694001844542,0.22405007496366544,1.0,10.0,1.0,2.74300351875e-05,0.4,0.033851179661739846,-0.01880919009703082,1.042857607980125
test,10,2,20250219,20250304,10,-0.0007522284700290927,-0.057469171430476584,0.05671694296044749,0.00022324709283148264,0.008718767095524514,1.0,10.0,1.0,2.2778268938999998e-05,0.7,0.0320630982874599,-0.05291671228081605,0.9992477715299709
test,10,3,20250226,20250311,10,0.012601758518387074,-0.0012288261973423253,0.0138305847157294,0.0013521850475374357,0.09140685660288794,1.0,10.0,1.0,2.3325794748000003e-05,0.4,0.025636448968317595,-0.03195945769577485,1.012601758518387
test,10,4,20250305,20250318,10,-0.03876724944433274,-0.06769370334937341,0.028926453905040672,-0.0034296060480319378,-0.10181886684200321,1.0,10.0,1.0,0.000112307264208,0.6,0.037857787885302946,-0.05093107747573121,0.9612327505556673
test,10,5,20250312,20250325,10,0.04986671058216041,-0.17133536535248017,0.22120207593464059,0.0050083488038415,0.2923599275270553,1.0,10.0,1.0,1.9240404709499998e-05,1.0,0.037003418437229416,-0.010896310699053238,1.0498667105821604
test,10,6,20250319,20250401,10,-0.27632729700759295,-0.4406456756227125,0.16431837861511955,-0.03081969676639724,-0.6698485174047175,1.0,10.0,1.0,2.7183109842e-05,1.0,0.01887927757922183,-0.10828567686338053,0.723672702992407
test,10,7,20250326,20250409,10,-0.39814115237241776,-0.3590263718437965,-0.039114780528621274,-0.04747696151440674,-0.7248169523473702,1.0,10.0,1.0,1.5822063603e-05,0.3,0.047148028530288176,-0.14071133808461797,0.6018588476275822
test,10,8,20250402,20250416,10,0.11231159284346348,0.054265718419243214,0.05804587442422027,0.011362334251814493,0.29441781648221704,1.0,10.0,1.0,1.24645248945e-05,0.6,0.07979905251916086,-0.05578431023851588,1.1123115928434635
test,10,9,20250410,20250423,10,0.011409617931975147,0.05968747101083527,-0.04827785307886012,0.0012290554882962031,0.08539541170398912,1.0,10.0,1.0,1.6297616682e-05,0.3,0.017744621210074894,-0.030019016683145806,1.0114096179319751
test,10,10,20250417,20250430,10,0.12170550974618988,0.23334593320656105,-0.11164042346037117,0.011853104694135063,0.4565869945781089,1.0,10.0,1.0,1.9636786737e-05,0.1,0.047108877947838294,-0.03337767812291706,1.1217055097461899
test,10,11,20250424,20250512,10,-0.019141862397950682,0.24930287341521717,-0.26844473581316786,-0.0015606314224976196,-0.05438185278163177,1.0,10.0,1.0,1.5029098731000004e-05,0.1,0.04416453793798612,-0.03762664641538526,0.9808581376020493
test,10,12,20250506,20250519,10,-0.23241233753538781,0.006300070793013424,-0.23871240832840124,-0.026019254756204334,-1.922327336148884,1.0,10.0,1.0,1.8846544756500003e-05,0.0,0.0017867261733412153,-0.04691487781418714,0.7675876624646122
test,10,13,20250513,20250526,10,-0.10284210240355984,-0.12075437119030208,0.017912268786742236,-0.010676806029121539,-0.6653251047737786,1.0,10.0,1.0,1.75553775495e-05,0.7,0.0156272397348979,-0.02982560641529372,0.8971578975964402
test,10,14,20250520,20250603,10,0.25659350908248424,0.017542926437738027,0.2390505826447462,0.02335231094892399,0.9842569568684738,1.0,10.0,1.0,1.3182679349999998e-05,1.0,0.0523668394135064,-0.01719999227577372,1.2565935090824842
test,10,15,20250527,20250610,10,0.2711428726304348,0.15107364240036958,0.12006923023006522,0.024351810807205065,1.9221569388363275,1.0,10.0,1.0,2.1768046587e-05,0.8,0.051215356434510834,0.010629194818416555,1.2711428726304348
test,10,16,20250604,20250617,10,0.05727113397138206,-0.014338961269674155,0.07161009524105622,0.005733923684365113,0.31449714298300047,1.0,10.0,1.0,3.95983983915e-05,0.9,0.030915903260956286,-0.02518770013172817,1.057271133971382
test,10,17,20250611,20250624,10,0.20343573325237174,0.21730902238221117,-0.013873289129839428,0.019381550979545463,0.4878506580221539,1.0,10.0,1.0,3.6343702763999996e-05,0.5,0.08166245975754803,-0.03469595990796684,1.2034357332523717
test,10,18,20250618,20250701,10,0.08390856316387696,0.3168002697826475,-0.23289170661877057,0.00821802646935811,0.48464918122329376,1.0,10.0,1.0,1.2038209447499999e-05,0.0,0.033770679139515834,-0.0172605448200732,1.083908563163877
test,10,19,20250625,20250708,10,0.051284881119585624,0.16680872020132176,-0.11552383908173613,0.005096129542615369,0.3770714883658805,1.0,10.0,1.0,1.9618077069e-05,0.0,0.02402973143423187,-0.023285815717224406,1.0512848811195856
test,10,20,20250702,20250715,10,0.18826541970280553,0.30985476034152803,-0.12158934063872251,0.017451311416455888,1.6075730088585136,1.0,10.0,1.0,1.4109312617999999e-05,0.2,0.030229213842731008,-0.0012965752039907235,1.1882654197028055
test,10,21,20250709,20250722,10,0.23477369717255003,0.3646060384472545,-0.12983234127470444,0.02145187417759155,1.2093071620045734,1.0,10.0,1.0,6.5280171042e-05,0.4,0.043750203977383856,-0.009235571935228809,1.23477369717255
test,10,22,20250716,20250729,10,0.4373643435654955,0.1349398452359516,0.3024244983295439,0.03756214103726386,1.0009310823884725,1.0,10.0,1.0,2.8683708439500002e-05,0.9,0.0895861826880611,-0.01667590266330761,1.4373643435654955
test,10,23,20250723,20250805,10,0.014711708303820181,0.02116090172898799,-0.00644919342516781,0.0015661489468567775,0.10295794302916927,1.0,10.0,1.0,3.37778342955e-05,0.4,0.019445798268546866,-0.02582017377497598,1.0147117083038202
test,10,24,20250730,20250812,10,0.35605261851619363,0.5056363408728073,-0.14958372235661366,0.031034311426404317,1.9704119276539658,1.0,10.0,1.0,4.4097227315999996e-05,0.4,0.05580175441863704,0.007401163741455578,1.3560526185161936
test,10,25,20250806,20250819,10,1.0007656837763794,0.8742380997326664,0.126527584043713,0.07212080076687566,2.6850261021389654,1.0,10.0,1.0,6.884997363e-05,0.6,0.10191212351764554,0.02268831578129009,2.0007656837763794
test,10,26,20250813,20250826,10,0.5334045169044936,0.7856132285295756,-0.25220871162508196,0.044006579827724976,1.5898064897779969,1.0,10.0,1.0,0.00012497927363549997,0.2,0.08486324481499893,-0.0019926132302233394,1.5334045169044936
test,10,27,20250820,20250902,10,-0.1733597643983934,0.43503332455019694,-0.6083930889485903,-0.018103958860405178,-0.44616833584504917,1.0,10.0,1.0,9.207263814750001e-05,0.0,0.04583150923944028,-0.065385734543695,0.8266402356016066
test,10,28,20250827,20250909,10,-0.05683617744141922,0.3150549560443261,-0.3718911334857453,-0.005551771475177223,-0.2217145343046751,1.0,10.0,1.0,5.446708981649999e-05,0.2,0.04084361081774796,-0.04341441645516413,0.9431638225585808
test,10,29,20250903,20250916,10,0.17256679151943133,0.42319182700388414,-0.2506250354844528,0.01655468829559206,0.4883208780223165,1.0,10.0,1.0,3.4356635558999995e-05,0.1,0.06445589604382557,-0.027718890222974527,1.1725667915194313
test,10,30,20250910,20250923,10,0.08839633933950064,0.34067513681219097,-0.25227879747269033,0.008962307727429269,0.2779626670926445,1.0,10.0,1.0,0.000117051180606,0.0,0.07706487893973607,-0.030957722754770604,1.0883963393395006
test,10,31,20250917,20250930,10,-0.16185905142715762,-0.0349713234474206,-0.12688772797973702,-0.017441796374963146,-1.524049329543393,1.0,10.0,1.0,3.0267369539999993e-05,0.4,0.001090232349531636,-0.03558932949039516,0.8381409485728424
test,10,32,20250924,20251015,10,-0.01986059171088206,-0.22633687855827422,0.20647628684739217,-0.0018300601335936972,-0.09395387318575761,1.0,10.0,1.0,2.0244740647499997e-05,0.7,0.022023217479709808,-0.04846853035931819,0.9801394082891179
test,10,33,20251009,20251022,10,0.04871480818033591,0.2375790535597071,-0.1888642453793712,0.005106604845784928,0.18418180371005033,1.0,10.0,1.0,4.15702873035e-05,0.3,0.06651043859226935,-0.029662300776458084,1.048714808180336
test,10,34,20251016,20251029,10,-0.01486971529036174,0.2557657040939447,-0.27063541938430646,-0.0011079328836226927,-0.037936852266494604,1.0,10.0,1.0,3.49028828685e-05,0.2,0.03871435626998523,-0.059203800943023674,0.9851302847096383
test,10,35,20251023,20251105,10,0.011441009497047627,-0.049205381768252954,0.06064639126530058,0.001274764663669038,0.0734150028433745,1.0,10.0,1.0,1.2616035961499997e-05,0.5,0.018435068952892677,-0.03127850276074934,1.0114410094970476
test,10,36,20251030,20251112,10,0.1194607766812783,-0.09450296870290464,0.21396374538418295,0.011631606100083052,0.46247466337725945,1.0,10.0,1.0,0.00016005318848999998,0.7,0.056856863479393775,-0.04034512875605067,1.1194607766812783
test,10,37,20251106,20251119,10,-0.17715271367119145,-0.25662442095712146,0.07947170728593,-0.019218481791654432,-1.3669134015770243,1.0,10.0,1.0,2.0141481888000002e-05,0.9,0.0007362732329912849,-0.047895055506120394,0.8228472863288085
test,10,38,20251113,20251126,10,-0.1728621458637014,-0.0761223752021909,-0.09673977066151052,-0.018576495675312162,-0.8411856202405806,1.0,10.0,1.0,1.85625147105e-05,0.5,0.018979674036037893,-0.04992710844230704,0.8271378541362986
test,10,39,20251120,20251203,10,-0.09621776167780316,0.3216381636947123,-0.4178559253725155,-0.010025676688162897,-1.067559255201418,1.0,10.0,1.0,1.7282574490500003e-05,0.0,0.006430402508542784,-0.021561743750960188,0.9037822383221968
test,10,40,20251127,20251210,10,0.047994665125972835,0.14894644529560308,-0.10095178016963025,0.004866796031335037,0.25164133025506596,1.0,10.0,1.0,1.2483072953999997e-05,0.3,0.028274176622364755,-0.025039402283778385,1.0479946651259728
test,10,41,20251204,20251217,10,0.18518860290457018,0.04155619059076732,0.14363241231380286,0.017711796183124035,0.48840321440504064,1.0,10.0,1.0,1.3410648242999998e-05,0.6,0.0724028836235006,-0.02241140474817989,1.1851886029045702
test,10,42,20251211,20251224,10,0.24860984404740227,0.13774441500607804,0.11086542904132424,0.022686683670313703,0.9732863363921219,1.0,10.0,1.0,4.991145526799999e-05,0.5,0.07622120993141876,-0.008036893250369943,1.2486098440474023
test,10,43,20251218,20251231,10,0.325901793017072,0.21954446135332284,0.10635733166374917,0.029328253633881796,0.7226320925233635,1.0,10.0,1.0,1.92430548495e-05,0.7,0.09316723506949272,-0.026494801282801437,1.325901793017072
test,10,44,20251225,20260109,10,0.55310552536982,0.23026562993807187,0.3228398954317482,0.04634116216421494,0.8307110504183725,1.0,10.0,1.0,3.33881829675e-05,0.6,0.15266087599383382,-0.040109091372990076,1.55310552536982
test,10,45,20260105,20260116,10,0.24841506227270793,0.023659817359658497,0.22475524491304943,0.023821345109896926,0.419345607377675,1.0,10.0,1.0,8.1584936082e-05,0.5,0.1400199365584493,-0.033038085110447805,1.248415062272708
test,10,46,20260112,20260123,10,-0.14779031797963027,-0.050800973663852056,-0.09698934431577821,-0.01576561042970174,-1.0680379963586308,1.0,10.0,1.0,8.738957330999999e-05,0.2,0.004159153341226341,-0.033290665149001065,0.8522096820203697
test,10,47,20260119,20260130,10,-0.02880552696767702,-0.07487627687913812,0.046070749911461095,-0.002726793690562693,-0.13356460957289062,1.0,10.0,1.0,5.3642775091499995e-05,0.6,0.02191049737928242,-0.05316057256844646,0.971194473032323
test,10,48,20260126,20260206,10,-0.02725718071918115,-0.04283891436223741,0.015581733643056261,-0.002639034811862434,-0.16222838392330735,1.0,10.0,1.0,8.052922607850001e-05,0.6,0.014885297500901791,-0.038897350433381835,0.9727428192808188
test,10,49,20260202,20260213,10,0.16347186955742088,0.052145105801937985,0.1113267637554829,0.015349501719396683,1.0568202292366469,1.0,10.0,1.0,3.5681407487999994e-05,1.0,0.036500484895739885,-0.008408190508233809,1.1634718695574209
test,10,50,20260209,20260302,10,-0.42250099882292647,-0.13371885512541104,-0.2887821436975154,-0.053053021031611435,-1.9024007384639445,1.0,10.0,1.0,0.00010197855927,0.0,-0.015064926736258104,-0.09378228287304903,0.5774990011770735
test,10,51,20260224,20260309,10,-0.21451456008142422,0.02851425719070666,-0.24302881727213088,-0.023495202585248683,-0.8373833525086547,1.0,10.0,1.0,9.2259178929e-05,0.1,0.02690502557824949,-0.058479985085318535,0.7854854399185758
test,10,52,20260303,20260316,10,0.134389851808268,0.1459794925331559,-0.011589640724887884,0.013508880087670299,0.3177055131868714,1.0,10.0,1.0,9.714060298800001e-05,0.4,0.08051462775883417,-0.07771642920109446,1.134389851808268
test,10,53,20260310,20260323,10,-0.3960242120455977,-0.0860577855203396,-0.3099664265252581,-0.04884405601523477,-1.8620791368821648,1.0,10.0,1.0,4.5646489831500004e-05,0.0,-0.021714300005954864,-0.09006486635491363,0.6039757879544023
test,10,54,20260317,20260330,10,-0.332604233950175,-0.1554021859390241,-0.17720204801115091,-0.03933159788155491,-1.5555016660617564,1.0,10.0,1.0,5.15892704175e-05,0.1,4.638537131403109e-05,-0.07402640408804799,0.667395766049825
test,10,55,20260324,20260407,10,0.1839202889690037,0.20684067570600084,-0.022920386736997145,0.01776194205362349,0.43235066037301934,1.0,10.0,1.0,4.766198559750001e-05,0.4,0.08738345230919947,-0.02663142648073916,1.1839202889690037
test,10,56,20260331,20260414,10,0.23527775435231768,0.8084062108698575,-0.5731284565175399,0.02174416132283937,0.7358266420126707,1.0,10.0,1.0,4.89647728935e-05,0.1,0.05826755172060489,-0.03778648351174448,1.2352777543523177
test,10,57,20260408,20260421,10,0.1079527626614678,0.4061870700197292,-0.2982343073582614,0.010409152877846812,0.6781687862801083,1.0,10.0,1.0,4.41713912805e-05,0.2,0.03056079133365939,-0.015157734016899096,1.1079527626614678
test,10,58,20260415,20260428,10,0.0889497108404933,0.19980143509351223,-0.11085172425301892,0.008813824591219984,0.366579949555844,1.0,10.0,1.0,4.46023764765e-05,0.4,0.043997644543076746,-0.016628743745547132,1.0889497108404933
test,10,59,20260422,20260508,10,0.12371473572243952,0.41688448347926066,-0.29316974775682114,0.012329848158418828,0.33424057521945233,1.0,10.0,1.0,4.9964105708999996e-05,0.1,0.08719108885869864,-0.036855780910349814,1.1237147357224395
test,10,60,20260429,20260515,10,-0.05381237441286035,0.17375214963422714,-0.2275645240470875,-0.00449405119620936,-0.0933165499732935,1.0,10.0,1.0,3.1518611838e-05,0.2,0.09241663321720262,-0.058735577013048476,0.9461876255871396
test,20,0,20250205,20250218,10,0.21124809207093875,0.27519689744261067,-0.06394880537167191,0.019480612069532364,1.123737182767063,1.0,20.0,1.0,4.557567982049999e-05,0.4,0.061116074222637776,0.003298631577964391,1.2112480920709388
