split,k,window_index,window_start,window_end,num_days,cumulative_return,cumulative_bench_return,excess_vs_bench_10d,daily_mean,ir,compliance_rate,avg_position_count,avg_position_ratio,total_cost,win_rate_vs_bench,best_daily_return,worst_daily_return,final_cumulative
test,10,0,20250205,20250218,10,0.7104139898725366,0.27519689744261067,0.4352170924299259,0.058128437525112306,0.6684471531806031,1.0,10.0,1.0,0.000123554135178,0.7,0.2673891767508296,-0.017157538054310976,1.7104139898725366
test,10,1,20250212,20250225,10,0.06557464725463569,0.05291163377638752,0.012663013478248164,0.007037878875987014,0.18383569444700762,1.0,10.0,1.0,0.00016554682218599998,0.5,0.0547199428523284,-0.06223883919768802,1.0655746472546357
test,10,2,20250219,20250304,10,-0.15944728325403634,-0.057469171430476584,-0.10197811182355976,-0.016394337386834545,-0.39037329384349057,1.0,10.0,1.0,0.000125182894725,0.4,0.024371129565328716,-0.10189730886228926,0.8405527167459637
test,10,3,20250226,20250311,10,0.05648158439666906,-0.0012288261973423253,0.057710410594011385,0.0057783060353923665,0.23767631712938692,1.0,10.0,1.0,0.0001471483255995,0.8,0.029379284499854892,-0.044753132387785687,1.056481584396669
test,10,4,20250305,20250318,10,-0.2647628349039314,-0.06769370334937341,-0.19706913155455796,-0.029616184951230813,-0.7799769179135266,1.0,10.0,1.0,6.98166473895e-05,0.3,0.026525476273847156,-0.08797264410150225,0.7352371650960686
test,10,5,20250312,20250325,10,-0.3743172535938777,-0.17133536535248017,-0.2029818882413975,-0.04564630881200913,-2.456622770286381,1.0,10.0,1.0,6.21422294535e-05,0.0,-0.013588997198621482,-0.07334763273765574,0.6256827464061223
test,10,6,20250319,20250401,10,-0.4985514093613562,-0.4406456756227125,-0.05790573373864372,-0.06491587226707636,-1.085589273298189,1.0,10.0,1.0,3.8271852917999994e-05,0.4,-0.003104814827473663,-0.17045155320272584,0.5014485906386438
test,10,7,20250326,20250409,10,-0.4003704912046083,-0.3590263718437965,-0.04134411936081184,-0.045189585089189944,-0.4554136715831967,1.0,10.0,1.0,2.03319902835e-05,0.6,0.09168239876452236,-0.1757391976869757,0.5996295087953917
test,10,8,20250402,20250416,10,-0.03125291653255435,0.054265718419243214,-0.08551863495179757,-0.001960299013681354,-0.038568127319334684,1.0,10.0,1.0,3.5660545433999995e-05,0.3,0.0657647623546812,-0.1189093113222849,0.9687470834674456
test,10,9,20250410,20250423,10,-0.06355170069876814,0.05968747101083527,-0.12323917170960341,-0.006511912849692675,-0.7665507670480612,1.0,10.0,1.0,2.6866219396499998e-05,0.3,0.006416008518179447,-0.01927339519104548,0.9364482993012319
test,10,10,20250417,20250430,10,-0.016042264753274194,0.23334593320656105,-0.24938819795983524,-0.0014621776216692626,-0.07915341842024921,1.0,10.0,1.0,1.7641883223000002e-05,0.0,0.02617667585903223,-0.0278392504593265,0.9839577352467258
test,10,11,20250424,20250512,10,-0.09794257950610341,0.24930287341521717,-0.3472454529213206,-0.01020334086885778,-0.958618230279687,1.0,10.0,1.0,1.61705393055e-05,0.1,0.006745975641056039,-0.02607190977475057,0.9020574204938966
test,10,12,20250506,20250519,10,-0.06808070508345154,0.006300070793013424,-0.07438077587646497,-0.0069336471959731095,-0.48549952830351517,1.0,10.0,1.0,2.21933397285e-05,0.6,0.01404356638441821,-0.028295544568668365,0.9319192949165485
test,10,13,20250513,20250526,10,-0.08246850986391352,-0.12075437119030208,0.03828586132638856,-0.00843629062997093,-0.49122220394391897,1.0,10.0,1.0,1.4903944127999997e-05,0.6,0.023143300563785003,-0.03298629701147203,0.9175314901360865
test,10,14,20250520,20250603,10,0.06728028309468836,0.017542926437738027,0.04973735665695034,0.0067241826366444355,0.32610935751567677,1.0,10.0,1.0,1.01328327225e-05,0.6,0.026982517485669613,-0.02548222791632601,1.0672802830946884
test,10,15,20250527,20250610,10,0.2594685668739962,0.15107364240036958,0.10839492447362664,0.023490325160949135,1.2611623548042548,1.0,10.0,1.0,8.7469060725e-06,0.9,0.046846515084211116,-0.006850521724435038,1.2594685668739962
test,10,16,20250604,20250617,10,0.583662790007627,-0.014338961269674155,0.5980017512773012,0.047808230037746854,1.120444157154635,1.0,10.0,1.0,5.2674972083999996e-05,1.0,0.14771609158548302,-0.00942319914457297,1.583662790007627
test,10,17,20250611,20250624,10,-0.008113111082974522,0.21730902238221117,-0.2254221334651857,-0.00038899782957635756,-0.012628660424129058,1.0,10.0,1.0,1.69703487675e-05,0.2,0.043516305838745654,-0.04001232255534435,0.9918868889170255
test,10,18,20250618,20250701,10,0.2150150497219887,0.3168002697826475,-0.10178522006065882,0.01975498945554281,1.39535169267083,1.0,10.0,1.0,1.8196947697499994e-05,0.5,0.03985382205727595,-0.0005122237386348296,1.2150150497219887
test,10,19,20250625,20250708,10,0.2846134140911498,0.16680872020132176,0.11780469388982806,0.02552248213194458,1.3325977221539989,1.0,10.0,1.0,2.0754240408e-05,0.8,0.05535523137029708,-0.004148023567028445,1.2846134140911498
test,10,20,20250702,20250715,10,0.2011873700305682,0.30985476034152803,-0.10866739031095984,0.01861794477921215,1.1383560659194436,1.0,10.0,1.0,2.7594317880000006e-05,0.2,0.05067748723099819,-0.006216674346485823,1.2011873700305682
test,10,21,20250709,20250722,10,0.6320743060789176,0.3646060384472545,0.2674682676316631,0.05042208190819166,2.233475924163655,1.0,10.0,1.0,2.9415663909e-05,0.7,0.0913122186743632,0.01839784086373187,1.6320743060789176
test,10,22,20250716,20250729,10,0.15565659654086206,0.1349398452359516,0.020716751304910463,0.014872840651539845,0.5735132300314535,1.0,10.0,1.0,5.253127742700001e-05,0.5,0.045023119476483575,-0.03179421427441411,1.155656596540862
test,10,23,20250723,20250805,10,0.013771092181717126,0.02116090172898799,-0.007389809547270865,0.0015647084669877256,0.07542718479657072,1.0,10.0,1.0,0.000117779152248,0.6,0.022408878651957752,-0.04256904404266448,1.0137710921817171
test,10,24,20250730,20250812,10,0.5264965554401557,0.5056363408728073,0.020860214567348434,0.04379755923917068,1.1679185683996565,1.0,10.0,1.0,8.32177573515e-05,0.6,0.1146361304088151,0.01516205178483071,1.5264965554401557
test,10,25,20250806,20250819,10,0.7568194524584029,0.8742380997326664,-0.11741864727426354,0.05832802044780563,2.0066937124360953,1.0,10.0,1.0,5.9050440643500006e-05,0.4,0.10440335773327539,0.013100792767773387,1.7568194524584029
test,10,26,20250813,20250826,10,0.42150722450036127,0.7856132285295756,-0.36410600402921434,0.0358965996781988,2.3755742186450295,1.0,10.0,1.0,3.4726193010000004e-05,0.1,0.057171008662862524,0.015070024418198453,1.4215072245003613
test,10,27,20250820,20250902,10,0.14215497791173326,0.43503332455019694,-0.2928783466384637,0.013656535962074728,0.5521254758616301,1.0,10.0,1.0,4.48046238915e-05,0.2,0.04168348365079376,-0.038480104103106205,1.1421549779117333
test,10,28,20250827,20250909,10,-0.03713068547210674,0.3150549560443261,-0.35218564151643283,-0.003063360428012238,-0.07735653785309482,1.0,10.0,1.0,8.30495214315e-05,0.2,0.05494302776762254,-0.06989414297800399,0.9628693145278933
test,10,29,20250903,20250916,10,0.3902228435531827,0.42319182700388414,-0.03296898345070143,0.035127147682684046,0.5614589008194267,1.0,10.0,1.0,8.223778448549999e-05,0.4,0.15767794972509053,-0.019130208345338885,1.3902228435531827
test,10,30,20250910,20250923,10,0.649287676350945,0.34067513681219097,0.308612539538754,0.05275089721186321,0.9026782821197188,1.0,10.0,1.0,0.0001108011972105,0.6,0.15687941020180868,-0.010902196491961964,1.649287676350945
test,10,31,20250917,20250930,10,0.15822539172952887,-0.0349713234474206,0.19319671517694947,0.016074547492273706,0.30256166529199136,1.0,10.0,1.0,6.352809151500001e-05,0.9,0.07058025355120152,-0.07375004584950018,1.1582253917295289
test,10,32,20250924,20251015,10,-0.2607033176843613,-0.22633687855827422,-0.034366439126087056,-0.02913538046008763,-0.7879488294317962,1.0,10.0,1.0,6.7920221304e-05,0.5,0.0551496536692597,-0.06776119099357576,0.7392966823156387
test,10,33,20251009,20251022,10,-0.1562806571301747,0.2375790535597071,-0.3938597106898818,-0.016062257721165873,-0.3869137908298791,1.0,10.0,1.0,9.60562851345e-05,0.0,0.05270589018074724,-0.07426533623462413,0.8437193428698253
test,10,34,20251016,20251029,10,0.08910280337402487,0.2557657040939447,-0.16666290071991985,0.008825381216428438,0.3712546956597141,1.0,10.0,1.0,5.1564768511500006e-05,0.4,0.04457491409781421,-0.02943892965990768,1.0891028033740249
test,10,35,20251023,20251105,10,0.2570905728511661,-0.049205381768252954,0.30629595461941905,0.02383742732421393,0.5953686130501499,1.0,10.0,1.0,5.0752500174e-05,0.7,0.10168801168850043,-0.0251291956811364,1.257090572851166
test,10,36,20251030,20251112,10,-0.22172338000149838,-0.09450296870290464,-0.12722041129859374,-0.024102447053513238,-0.638914559365261,1.0,10.0,1.0,7.43473771785e-05,0.3,0.0343566167915813,-0.0804623821126919,0.7782766199985016
test,10,37,20251106,20251119,10,-0.1487729859059459,-0.25662442095712146,0.10785143505117556,-0.01326931292510627,-0.17274207567932748,1.0,10.0,1.0,7.7932361439e-05,0.6,0.0941288596970174,-0.12154199661332016,0.8512270140940541
test,10,38,20251113,20251126,10,-0.2825632221026376,-0.0761223752021909,-0.20644084690044673,-0.03074318717276265,-0.48246649072402614,1.0,10.0,1.0,7.2700594884e-05,0.3,0.04329150415551556,-0.13141066157098893,0.7174367778973624
test,10,39,20251120,20251203,10,-0.049549516555634776,0.3216381636947123,-0.3711876802503471,-0.004810197963337096,-0.20118514194836054,1.0,10.0,1.0,6.407938587150002e-05,0.1,0.03145526672228917,-0.042007609685005845,0.9504504834443652
test,10,40,20251127,20251210,10,-0.11762233532046906,0.14894644529560308,-0.26656878061607214,-0.012275166749606893,-0.6557242893173298,1.0,10.0,1.0,3.4630147161e-05,0.3,0.015234573555896583,-0.046110264236911586,0.8823776646795309
test,10,41,20251204,20251217,10,0.23814120920128756,0.04155619059076732,0.19658501861052025,0.022091452492450182,0.6511380117007501,1.0,10.0,1.0,4.135294140300001e-05,0.9,0.09180891706892687,-0.021969730994638753,1.2381412092012876
test,10,42,20251211,20251224,10,0.8453576220039614,0.13774441500607804,0.7076132069978833,0.06424722197117556,1.2869505614439951,1.0,9.0,1.0,5.677870761900001e-05,0.8,0.126665701159763,-0.0051798562726426915,1.8453576220039614
test,10,43,20251218,20251231,10,3.1248396932242164,0.21954446135332284,2.905295231870894,0.1543220691722073,2.0912361891784994,1.0,10.0,1.0,6.355360063800001e-05,1.0,0.267460952595526,0.06597523062541115,4.124839693224216
test,10,44,20251225,20260109,10,1.3948739803342587,0.23026562993807187,1.1646083503961868,0.09257647916216896,1.6524850276233392,1.0,10.0,1.0,8.24358588345e-05,0.9,0.16254301452220743,-0.008941808691597355,2.3948739803342587
test,10,45,20260105,20260116,10,0.8307959531225158,0.023659817359658497,0.8071361357628573,0.06460510691662351,0.8646374412993346,1.0,10.0,1.0,9.781824433500002e-05,0.9,0.2251908432179811,-0.001964103860214786,1.8307959531225158
test,10,46,20260112,20260123,10,0.5058301630579936,-0.050800973663852056,0.5566311367218456,0.04480792364612001,0.5418574908889474,1.0,10.0,1.0,0.000307490120793,0.8,0.1761188245688379,-0.11597460318495603,1.5058301630579936
test,10,47,20260119,20260130,10,0.37133892828444526,-0.07487627687913812,0.4462152051635834,0.03434256454706609,0.47661128085941235,1.0,10.0,1.0,0.00010252131433649999,0.7,0.16257278006979764,-0.09088330911469618,1.3713389282844453
test,10,48,20260126,20260206,10,-0.0736959780286256,-0.04283891436223741,-0.030857063666388185,-0.00671682731323181,-0.15178977118415374,1.0,10.0,1.0,0.00015530755307850003,0.6,0.051322608090150136,-0.10017939801949616,0.9263040219713744
test,10,49,20260202,20260213,10,-0.16578820354907764,0.052145105801937985,-0.21793330935101562,-0.01727267352138353,-0.4403612915430112,1.0,10.0,1.0,0.00015777159290100002,0.2,0.05104970542933458,-0.06659158589984945,0.8342117964509224
test,10,50,20260209,20260302,10,-0.47469804833406615,-0.13371885512541104,-0.3409791932086551,-0.06210355381486092,-2.7480036284159386,1.0,9.0,1.0,8.71254962415e-05,0.0,-0.029200148986074856,-0.09552771533364147,0.5253019516659339
test,10,51,20260224,20260309,10,-0.4122455024431254,0.02851425719070666,-0.44075975963383207,-0.05120006592478332,-1.4783636293296973,1.0,10.0,1.0,0.00012159144037800001,0.0,0.02747916373935616,-0.10115093159232055,0.5877544975568746
test,10,52,20260303,20260316,10,-0.19408923439646641,0.1459794925331559,-0.3400687269296223,-0.020922959183673574,-0.6969407870374829,1.0,10.0,1.0,3.5978332410000005e-05,0.0,0.021592647829550192,-0.0921195077850467,0.8059107656035336
