split,k,keep_multiplier,periods,net_ann,net_ir,net_max_drawdown,excess_benchmark_ann,excess_exec_universe_ann,avg_desired_turnover,avg_filled_turnover,avg_transaction_cost,avg_buy_reject_count,avg_sell_reject_count,avg_partial_fill_count,avg_position_count,portfolio_nav,participation_cap
test,10,1.0,66,0.9245715288216987,0.2896080384963005,-0.18705287107562496,0.22408110909101908,0.34789583517803746,1.7690847383522736,0.33330374100291144,0.0004999556115043673,0.015151515151515152,1.8484848484848484,20.196969696969695,22.863636363636363,1000000.0,0.01
test,10,1.5,66,0.7790864295199782,0.2751258329943241,-0.1914194343340584,0.1268096347813641,0.24205257112485823,1.6532381219572796,0.31291198648766927,0.00046936797973150387,0.015151515151515152,2.212121212121212,20.424242424242426,23.666666666666668,1000000.0,0.01
test,10,3.0,66,0.4551878240484153,0.22716896201449657,-0.19639111660992414,-0.0885718766184812,0.009424997788961775,1.2415072350554612,0.22264252065956563,0.0003339637809893484,0.015151515151515152,1.5,17.560606060606062,20.393939393939394,1000000.0,0.01
test,30,1.0,66,0.6394466153695395,0.3017685949655182,-0.1776515918145387,0.03389949927072222,0.14364865508496472,1.2088806768168696,0.44048782264910874,0.0006607317339736632,0.030303030303030304,5.984848484848484,41.81818181818182,56.34848484848485,1000000.0,0.01
test,30,1.5,66,0.4742489470654352,0.24944005038034878,-0.16372465713031037,-0.07450795185852266,0.025113195617119777,0.9004759361602446,0.293273448879696,0.00043991017331954384,0.015151515151515152,6.484848484848484,33.31818181818182,50.68181818181818,1000000.0,0.01
test,30,3.0,66,0.67895597794229,0.3229533624465348,-0.18543400236320107,0.056554809105146875,0.16879513694618797,0.1846014445266346,0.062099565090898784,9.314934763634819e-05,0.0,4.409090909090909,5.5,34.59090909090909,1000000.0,0.01
validation,10,1.0,97,-0.264502169383657,-0.09214054437952049,-0.5700009857822099,-0.25696319242609844,-0.19554229120365962,1.7949438857404914,0.14311633753516392,0.0002146745063027459,0.0,2.8556701030927836,22.422680412371133,25.443298969072163,1000000.0,0.01
validation,10,1.5,97,-0.2596673397882251,-0.08610619606264243,-0.5765053326610443,-0.24949190712079938,-0.18727490633004173,1.672073240590453,0.13879309540529625,0.00020818964310794435,0.010309278350515464,2.3608247422680413,22.350515463917525,25.0,1000000.0,0.01
validation,10,3.0,97,-0.2649091784914138,-0.08454277051872058,-0.5974681633085368,-0.25197773368115606,-0.18948352512190825,1.2856294046707895,0.11004922755067473,0.0001650738413260121,0.010309278350515464,1.309278350515464,19.989690721649485,22.010309278350515,1000000.0,0.01
validation,30,1.0,97,-0.1452651762738013,-0.03814071096436056,-0.4992693257839721,-0.13635396195336225,-0.06389977294004567,1.3465411167877017,0.2686839393557003,0.0004030259090335504,0.020618556701030927,8.278350515463918,52.45360824742268,65.1340206185567,1000000.0,0.01
