split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250102,20,2.0,40,90,-0.04081819593403269,-0.040929993978632194,-0.025088410239999304,-0.019141809913104164,-0.01584158373863289,-0.02178818406552803,0.0001117980445995,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.074532029733,0.074532029733,0.0,0,0,20,20,0.0
test,20250109,20,2.0,40,90,0.03161456956513499,0.03150752870973299,0.022325852692530734,0.02298160973493929,0.009181676017202253,0.008525918974793698,0.000107040855402,10.0,5.0,10000000.0,0.03,1.5345655709958395,0.071360570268,0.03804427632600001,0.033316293941999996,0,0,26,26,0.0
test,20250116,20,2.0,40,90,0.01811732451309127,0.01795502194631495,0.025274152494888513,0.016444322207179184,-0.007319130548573562,0.0015106997391357672,0.00016230256677632001,10.0,5.0,10000000.0,0.03,1.7695539635871178,0.10820171118421334,0.051733990167,0.05646772101721338,1,0,31,31,1.1102230246251565e-16
test,20250123,20,2.0,40,90,0.03988716055658499,0.03970789830421301,0.04328757587444709,0.0639845267449484,-0.0035796775702340855,-0.024276628440735387,0.00017926225237198317,10.0,5.0,10000000.0,0.03,1.5423725874392833,0.11950816824798878,0.040318145088,0.0791900231599888,0,0,31,31,6.661338147750939e-16
test,20250207,20,2.0,40,92,-0.005262882979008034,-0.005503062653192274,0.014432909247593217,0.006843613685386192,-0.01993597190078549,-0.012346676338578466,0.0002401796741842394,10.0,5.0,10000000.0,0.03,1.3611600469990177,0.16011978278949293,0.0654999265236192,0.09461985626587369,0,0,31,32,5.551115123125783e-16
test,20250214,20,2.0,40,92,0.0110012177618773,0.01081346583787495,0.016871284862258973,0.02528200254261258,-0.006057819024384023,-0.014468536704737632,0.00018775192400235054,10.0,5.0,10000000.0,0.03,1.2610595757730036,0.12516794933490036,0.055084263572999996,0.07008368576190036,0,0,28,30,0.0
test,20250221,20,2.0,40,92,-0.03309233478305523,-0.03330132564354027,-0.046884088921163025,-0.04088903240411475,0.013582763277622756,0.007587706760574478,0.00020899086048503958,10.0,5.0,10000000.0,0.03,1.350613767631392,0.13932724032335972,0.028450736025000003,0.11087650429835973,0,0,29,30,2.220446049250313e-16
test,20250228,20,2.0,40,92,0.006346704984602312,0.00618211518268484,0.013087965242455368,0.025477493800615134,-0.006905850059770529,-0.019295378617930292,0.0001645898019174725,10.0,5.0,10000000.0,0.03,1.336666470919055,0.10972653461164833,0.04328041554,0.06644611907164831,0,0,31,32,0.0
test,20250307,20,2.0,40,92,0.01955555071031289,0.0193970850172788,0.00706423229089137,0.005501013448215921,0.012332852726387431,0.01389607156906288,0.0001584656930340872,10.0,5.0,10000000.0,0.03,1.3247852838262435,0.10564379535605813,0.04574079223199999,0.05990300312405813,0,0,33,33,1.1102230246251565e-16
test,20250314,20,2.0,40,91,-0.03235642248389724,-0.032570642497781674,-0.035221977517760794,-0.03185198775704422,0.0026513350199791202,-0.0007186547407374566,0.0002142200138844372,10.0,5.0,10000000.0,0.03,1.4071265275057554,0.1428133425896248,0.04046430482455728,0.10234903776506753,0,1,35,37,2.220446049250313e-16
test,20250321,20,2.0,40,90,-0.00569080546405297,-0.0058199019832478275,-0.012280536548130883,-0.014714632405512167,0.006460634564883055,0.00889473042226434,0.0001290965191948581,10.0,5.0,10000000.0,0.03,1.3887621142885302,0.0860643461299054,0.045239872263,0.04082447386690541,0,2,32,35,1.1102230246251565e-16
test,20250328,20,2.0,40,94,-0.15306067826923092,-0.1531956486449809,-0.14669283680517808,-0.13564747372386324,-0.006502811839802808,-0.017548174921117654,0.00013497037574996388,10.0,5.0,10000000.0,0.03,1.3781905610605658,0.08998025049997592,0.044249364382807875,0.045730886117168024,0,1,32,35,5.551115123125783e-16
test,20250407,20,2.0,40,95,0.050632009940245866,0.05040584908223456,0.05190031953527541,0.06814537277785819,-0.0014944704530408456,-0.017739523695623628,0.00022616085801130623,10.0,5.0,10000000.0,0.03,1.2204313315370274,0.15077390534087082,0.08087956131471732,0.06989434402615352,0,0,32,34,0.0
test,20250414,20,2.0,40,95,-0.0014414734529815446,-0.001547369309015901,0.005394476281327165,-0.0023463415510368148,-0.006941845590343066,0.0007989722420209137,0.00010589585603435632,10.0,5.0,10000000.0,0.03,1.1890626042889076,0.07059723735623755,0.03277793248665489,0.03781930486958261,0,0,34,36,0.0
test,20250421,20,2.0,40,95,0.010458674853812248,0.010358913507702093,0.0003231408233126398,-0.014268144887797379,0.010035772684389453,0.024627058395499474,9.976134611015533e-05,10.0,5.0,10000000.0,0.03,1.347219932280087,0.06650756407343689,0.030012413076,0.03649515099743688,0,0,32,34,0.0
test,20250428,20,2.0,40,91,0.03912874694689899,0.03899947041990905,0.051926436899812245,0.04992579424968175,-0.012926966479903192,-0.010926323829772697,0.0001292765269899369,10.0,5.0,10000000.0,0.03,1.4479129037608591,0.0861843513266246,0.027474849722999996,0.058709501603624606,0,1,37,39,3.3306690738754696e-16
test,20250508,20,2.0,40,89,0.013551661807350587,0.013384744065527551,0.007305807444722978,-0.010729736468741199,0.006078936620804573,0.024114480534268748,0.00016691774182303625,10.0,5.0,10000000.0,0.03,1.33498402161275,0.11127849454869083,0.05254296469262925,0.05873552985606158,0,1,37,40,0.0
test,20250515,20,2.0,40,89,-0.011706967571564498,-0.011841150274035712,0.004764805131970862,-0.008933456202080808,-0.016605955406006574,-0.0029076940719549044,0.00013418270247121504,10.0,5.0,10000000.0,0.03,1.1544967087754052,0.08945513498081002,0.018440433639,0.07101470134181002,0,1,37,40,3.3306690738754696e-16
test,20250522,20,2.0,40,90,-0.0023012345427460418,-0.0024406203115856246,-0.015002775790292744,-0.000319365585023886,0.01256215547870712,-0.0021212547265617387,0.00013938576883958302,10.0,5.0,10000000.0,0.03,1.133182832480836,0.09292384589305534,0.029965526129999996,0.06295831976305538,0,1,35,39,3.3306690738754696e-16
test,20250529,20,2.0,40,83,0.01390132021120743,0.01378448912588068,0.018326615842758853,0.020116707697568112,-0.004542126716878174,-0.006332218571687432,0.0001168310853267498,10.0,5.0,10000000.0,0.03,1.512165259845321,0.0778873902178332,0.033539785056000006,0.04434760516183321,0,4,36,41,1.1102230246251565e-16
test,20250606,20,2.0,40,84,0.007036505074104632,0.00684407435441516,-0.0012719241257116431,-0.006765370553497675,0.008115998480126802,0.013609444907912835,0.00019243071968947246,10.0,5.0,10000000.0,0.03,1.542892437716368,0.1282871464596483,0.05171748768441609,0.07656965877523221,0,4,36,41,4.440892098500626e-16
test,20250613,20,2.0,40,84,-0.016292023925103292,-0.01644398784066963,-0.014129548187905905,-0.018367441375590977,-0.0023144396527637265,0.0019234535349213454,0.00015196391556634002,10.0,5.0,10000000.0,0.03,1.456238361249277,0.10130927704422668,0.029165988723,0.07214328832122668,0,4,36,41,1.1102230246251565e-16
