split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,10,20250205,20250206,300002.SZ,0.09761340943450128,-0.0019258076790720224
test,full_topk,10,20250205,20250206,300012.SZ,0.09860090846816544,-0.0019302730215713382
test,full_topk,10,20250205,20250206,300017.SZ,0.10566569405115206,-0.0019283993169665337
test,full_topk,10,20250205,20250206,300024.SZ,0.10092706814319437,-0.0019130469299852848
test,full_topk,10,20250205,20250206,300070.SZ,0.09804206837955699,-0.0019247677410021424
test,full_topk,10,20250205,20250206,300118.SZ,0.09899308334400925,-0.0019298313418403268
test,full_topk,10,20250205,20250206,300144.SZ,0.09662309023000819,-0.0019253978971391916
test,full_topk,10,20250205,20250206,300251.SZ,0.10821624528686952,-0.0019231613259762526
test,full_topk,10,20250205,20250206,300253.SZ,0.09816286526519848,-0.0019206915749236941
test,full_topk,10,20250205,20250206,300677.SZ,0.09715556739734443,-0.0019257821841165423
test,full_topk,10,20250206,20250207,300002.SZ,0.10374983203320867,-0.0019249788019806147
test,full_topk,10,20250206,20250207,300012.SZ,0.09993339657844055,-0.0019270355114713311
test,full_topk,10,20250206,20250207,300017.SZ,0.10079545939507875,-0.0019274060614407063
test,full_topk,10,20250206,20250207,300024.SZ,0.09788707902006419,-0.0019146795384585857
test,full_topk,10,20250206,20250207,300070.SZ,0.10069756558427007,-0.0019231816986575723
test,full_topk,10,20250206,20250207,300118.SZ,0.1019576767883612,-0.001926719443872571
test,full_topk,10,20250206,20250207,300144.SZ,0.09800695921180212,-0.0019235286163166165
test,full_topk,10,20250206,20250207,300146.SZ,0.10054880154670988,-0.0019269366748631
test,full_topk,10,20250206,20250207,300498.SZ,0.09877521085176026,-0.0019268025644123554
test,full_topk,10,20250206,20250207,300677.SZ,0.09764801899030426,-0.0019252209458500147
test,full_topk,10,20250207,20250210,300003.SZ,0.10503965549127149,-0.0019216032233089209
test,full_topk,10,20250207,20250210,300012.SZ,0.09842095154038698,-0.0019236975349485874
test,full_topk,10,20250207,20250210,300015.SZ,0.09922389383078482,-0.0019221313996240497
test,full_topk,10,20250207,20250210,300024.SZ,0.09851228726569,-0.0019176661735400558
