split,mode,k,signal_date,execution_date,ts_code,close_weight,pred_score
test,full_topk,10,20250205,20250206,300033.SZ,0.10299865823778022,0.000889637041836977
test,full_topk,10,20250205,20250206,300059.SZ,0.09941206424095242,0.0005964399315416813
test,full_topk,10,20250205,20250206,300418.SZ,0.09719036774286775,0.0006171963177621365
test,full_topk,10,20250205,20250206,300567.SZ,0.1026463463463514,0.0006839022971689701
test,full_topk,10,20250205,20250206,300666.SZ,0.09883064712582719,0.00059937359765172
test,full_topk,10,20250205,20250206,300750.SZ,0.09685861337853716,0.0006023300811648369
test,full_topk,10,20250205,20250206,300751.SZ,0.09786811054731116,0.0011335695162415504
test,full_topk,10,20250205,20250206,300776.SZ,0.10261216507883678,0.0006562229245901108
test,full_topk,10,20250205,20250206,300896.SZ,0.09896156160766134,0.0006647245027124882
test,full_topk,10,20250205,20250206,301269.SZ,0.10262146569387455,0.0012473361566662788
test,full_topk,10,20250206,20250207,300033.SZ,0.10168211870165872,0.0007138662040233612
test,full_topk,10,20250206,20250207,300059.SZ,0.10101369388100408,0.0005817180499434471
test,full_topk,10,20250206,20250207,300418.SZ,0.09984209283939102,0.0005431147292256355
test,full_topk,10,20250206,20250207,300567.SZ,0.09729232422821174,0.0005168672651052475
test,full_topk,10,20250206,20250207,300750.SZ,0.09956600296193639,0.0007568150758743286
test,full_topk,10,20250206,20250207,300751.SZ,0.10093016846382354,0.0011359266936779022
test,full_topk,10,20250206,20250207,300776.SZ,0.10098500795450496,0.0005552158690989017
test,full_topk,10,20250206,20250207,300896.SZ,0.10036062279912275,0.0006574224680662155
test,full_topk,10,20250206,20250207,301269.SZ,0.09883303848180963,0.0010252632200717926
test,full_topk,10,20250206,20250207,301358.SZ,0.09949492968853713,0.0006448058411478996
test,full_topk,10,20250207,20250210,300014.SZ,0.09774677977964387,0.00046847574412822723
test,full_topk,10,20250207,20250210,300033.SZ,0.1011196704291435,0.0006103580817580223
test,full_topk,10,20250207,20250210,300059.SZ,0.10130958911610746,0.0004968587309122086
test,full_topk,10,20250207,20250210,300750.SZ,0.0999652442823938,0.0006259968504309654
test,full_topk,10,20250207,20250210,300751.SZ,0.0999577600227386,0.0009784651920199394
test,full_topk,10,20250207,20250210,300776.SZ,0.09894614289728068,0.00048618996515870094
