split,mode,k,signal_date,execution_date,position_count,turnover,transaction_cost,overnight_return,intraday_return,daily_return,benchmark_return,top_selected
test,full_topk,10,20250205,20250206,10,1.0,0.0015,0.0,0.0371778930987851,0.035622126259136966,0.02802915920617699,"300251.SZ,300253.SZ,300383.SZ,300017.SZ,300070.SZ,300677.SZ,300144.SZ,300002.SZ,300118.SZ,300339.SZ"
test,full_topk,10,20250206,20250207,10,0.4247470360831751,0.0006371205541247627,0.002885766610129445,0.023036905377741425,0.02533547234372291,0.025276870850721167,"300383.SZ,300017.SZ,300677.SZ,300070.SZ,300144.SZ,300002.SZ,300413.SZ,300118.SZ,300339.SZ,300003.SZ"
test,full_topk,10,20250207,20250210,10,0.4247469491685359,0.0006371204237528038,0.01228326402721323,0.00927918149047271,0.021025493237594617,0.004380985608164689,"300383.SZ,300017.SZ,300253.SZ,300144.SZ,300677.SZ,300070.SZ,300413.SZ,300002.SZ,300118.SZ,300408.SZ"
test,full_topk,10,20250210,20250211,10,0.21611105658498808,0.00032416658487748214,-0.002318529786279649,0.006516913045379036,0.0038577509396944265,-0.014261015743242234,"300383.SZ,300253.SZ,300017.SZ,300251.SZ,300144.SZ,300677.SZ,300070.SZ,300413.SZ,300408.SZ,300118.SZ"
test,full_topk,10,20250211,20250212,10,0.43408944384040066,0.000651134165760601,0.006890405602663706,0.024687894589365277,0.031076603159136074,0.018129053104789072,"300383.SZ,300253.SZ,300017.SZ,300677.SZ,300144.SZ,300070.SZ,300408.SZ,300413.SZ,300601.SZ,300003.SZ"
test,full_topk,10,20250212,20250213,10,0.2169532043854735,0.00032542980657821027,-0.0018744126429732673,-0.007187164427265958,-0.00937059064177126,-0.007119166455953008,"300383.SZ,300677.SZ,300253.SZ,300017.SZ,300144.SZ,300070.SZ,300408.SZ,300413.SZ,300142.SZ,300601.SZ"
test,full_topk,10,20250213,20250214,10,0.010880881583755372,1.632132237563306e-05,-0.0011051382283942123,0.029446388375663247,0.028291924459864948,0.017986992567949667,"300677.SZ,300383.SZ,300253.SZ,300017.SZ,300070.SZ,300144.SZ,300142.SZ,300408.SZ,300601.SZ,300413.SZ"
test,full_topk,10,20250214,20250217,10,0.23622577819275836,0.00035433866728913757,0.009640570527514053,-0.0030863583628772287,0.006167807374156897,0.005108476582658117,"300677.SZ,300383.SZ,300253.SZ,300070.SZ,300408.SZ,300017.SZ,300144.SZ,300001.SZ,300601.SZ,300142.SZ"
test,full_topk,10,20250217,20250218,10,0.40884481605955525,0.0006132672240893329,-0.010929948080147332,-0.030210240825723347,-0.04139823233540474,-0.01977943921338543,"300677.SZ,300383.SZ,300251.SZ,300070.SZ,300408.SZ,300017.SZ,300144.SZ,300001.SZ,300601.SZ,300024.SZ"
test,full_topk,10,20250218,20250219,10,0.6070049775471247,0.000910507466320687,-0.0014784201628188546,0.013474832265382087,0.01105507848838383,0.020346664076452914,"300677.SZ,300383.SZ,300009.SZ,300253.SZ,300070.SZ,300408.SZ,300017.SZ,300144.SZ,300001.SZ,300012.SZ"
test,full_topk,10,20250219,20250220,10,0.20821054537932004,0.0003123158180689801,-0.002976385243417732,0.008384409871154175,0.0050690723581305885,-0.0006278900939528098,"300677.SZ,300009.SZ,300383.SZ,300070.SZ,300253.SZ,300251.SZ,300017.SZ,300144.SZ,300408.SZ,300012.SZ"
test,full_topk,10,20250220,20250221,10,0.027032192300235,4.05482884503525e-05,0.006032919495768822,0.04104459477334881,0.047282665763527465,0.025129586223623823,"300677.SZ,300009.SZ,300070.SZ,300383.SZ,300253.SZ,300144.SZ,300017.SZ,300251.SZ,300012.SZ,300408.SZ"
