split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250205,10,1.0,10,86,0.3760405072720421,0.3759618327350216,0.06424527525438206,0.078770924803954,0.31171655748063953,0.2971909079310676,7.86745370205e-05,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.052449691347,0.052449691347,0.0,0,0,10,10,0.0
test,20250205,20,1.0,20,86,0.2918542593013573,0.29174392987699627,0.06424527525438206,0.078770924803954,0.2274986546226142,0.21297300507304226,0.00011032942436100001,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.073552949574,0.073552949574,0.0,0,0,20,20,0.0
test,20250205,30,1.0,30,86,0.19008041086939198,0.189857297739025,0.06424527525438206,0.078770924803954,0.12561202248464293,0.11108637293507098,0.00022311313036699998,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.1487420869113333,0.1487420869113333,0.0,0,0,29,30,0.0
test,20250212,10,1.0,10,86,0.004670168797315346,0.0045838955762608465,0.018683128084034273,0.009214541812112396,-0.014099232507773427,-0.00463064623585155,8.627322105450001e-05,10.0,5.0,10000000.0,0.03,1.985202244587768,0.057515480703000006,0.022206542646,0.03530893805699999,0,1,18,19,0.0
test,20250212,20,1.0,20,86,-0.001538545059417876,-0.001652357036208876,0.018683128084034273,0.009214541812112396,-0.02033548512024315,-0.010866898848321272,0.000113811976791,10.0,5.0,10000000.0,0.03,1.6334751739319828,0.075874651194,0.030618135525000006,0.04525651566899999,0,1,27,28,0.0
test,20250212,30,1.0,30,86,-0.011339609881570551,-0.011567243300402891,0.018683128084034273,0.009214541812112396,-0.030250371384437164,-0.020781785112515286,0.0002276334188323394,10.0,5.0,10000000.0,0.03,1.5565588657488527,0.15175561255489292,0.049873230815892906,0.101882381739,0,1,37,40,0.0
test,20250219,10,1.0,10,87,-0.000506684445263803,-0.0006528050325215975,0.020627726337015817,0.034650114473561686,-0.021280531369537413,-0.03530291950608328,0.0001461205872577945,10.0,5.0,10000000.0,0.03,1.8895798136974833,0.09741372483852967,0.027776279454,0.06963744538452968,0,0,18,18,0.0
test,20250219,20,1.0,20,87,0.036550367433382615,0.036392141982617074,0.020627726337015817,0.034650114473561686,0.015764415645601257,0.0017420275090553883,0.00015822545076553952,10.0,5.0,10000000.0,0.03,1.4055444348323207,0.10548363384369301,0.04016285380472744,0.06532078003896555,0,1,29,31,0.0
test,20250219,30,1.0,30,87,0.03137942664616738,0.031144695913372336,0.020627726337015817,0.034650114473561686,0.010516969576356519,-0.0035054185601893495,0.00023473073279504193,10.0,5.0,10000000.0,0.03,1.383002619676512,0.15648715519669462,0.047294769515999986,0.10919238568069461,0,1,39,41,0.0
test,20250226,10,1.0,10,87,-0.053523033418430815,-0.05364778214429711,-0.03444576019239476,-0.028359081240983765,-0.01920202195190235,-0.02528870090331334,0.0001247487258662945,10.0,5.0,10000000.0,0.03,1.860068965902096,0.08316581724419633,0.013600990238999997,0.06956482700519633,0,0,19,19,0.0
