split,trade_date,k,keep_multiplier,keep_rank,daily_count,gross_return,net_return,benchmark_return,executable_universe_return,excess_vs_benchmark,excess_vs_executable_universe,transaction_cost,cost_bps,slippage_bps,portfolio_nav,participation_cap,desired_turnover,filled_turnover,filled_buy_notional_weight,filled_sell_notional_weight,buy_reject_count,sell_reject_count,partial_fill_count,position_count,cash_weight_before_normalize
test,20250205,10,1.0,10,86,0.26751273088600763,0.2673891767508296,0.06424527525438206,0.07877092480395399,0.20314390149644757,0.18861825194687565,0.000123554135178,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.082369423452,0.082369423452,0.0,0,0,10,10,1.1102230246251565e-16
test,20250205,20,1.0,20,86,0.22532754617323672,0.22516688963851222,0.06424527525438206,0.07877092480395399,0.16092161438413016,0.14639596483455825,0.0001606565347245,10.0,5.0,10000000.0,0.03,1.0000000000000002,0.107104356483,0.107104356483,0.0,0,0,20,20,0.0
test,20250205,30,1.0,30,86,0.1584552414849444,0.15820422725830088,0.06424527525438206,0.07877092480395399,0.09395895200391882,0.07943330245434689,0.0002510142266435,10.0,5.0,10000000.0,0.03,0.9999999999999999,0.16734281776233334,0.16734281776233334,0.0,0,0,29,30,1.1102230246251565e-16
test,20250212,10,1.0,10,86,-0.012807472431015189,-0.012973736431084688,0.018683128084034273,0.009214541812112396,-0.03165686451511896,-0.022188278243197086,0.00016626400006950002,10.0,5.0,10000000.0,0.03,1.2135708927895,0.11084266671300001,0.056772559821000004,0.054070106891999994,0,1,11,12,0.0
test,20250212,20,1.0,20,86,-0.0028526414545454793,-0.0030400382443334793,0.018683128084034273,0.009214541812112396,-0.021723166328367752,-0.012254580056445875,0.00018739678978800005,10.0,5.0,10000000.0,0.03,1.1571411872323925,0.12493119319200002,0.054330154839,0.070601038353,0,1,21,22,0.0
test,20250212,30,1.0,30,86,0.015484793432944764,0.015241148431760056,0.018683128084034273,0.009214541812112396,-0.003441979652274217,0.00602660661964766,0.00024364500118470692,10.0,5.0,10000000.0,0.03,1.1432098760628722,0.1624300007898046,0.044903388453,0.11752661233680461,0,1,31,33,0.0
test,20250219,10,1.0,10,87,0.04329183886842041,0.04314243768152741,0.020627726337015817,0.03465011447356169,0.022514711344511593,0.008492323207965717,0.00014940118689300003,10.0,5.0,10000000.0,0.03,0.9600327983662188,0.09960079126200003,0.028338639441,0.07126215182100001,0,0,12,12,0.0
test,20250219,20,1.0,20,87,0.0304313455524435,0.03025200995263479,0.020627726337015817,0.03465011447356169,0.009624283615618973,-0.004398104520926902,0.0001793355998087097,10.0,5.0,10000000.0,0.03,1.0910703173286675,0.1195570665391398,0.02474192448913983,0.09481514205,0,0,22,23,0.0
test,20250219,30,1.0,30,87,0.025448428202866257,0.025228094518999943,0.020627726337015817,0.03465011447356169,0.004600368181984126,-0.00942201995456175,0.00022033368386631267,10.0,5.0,10000000.0,0.03,1.1623122491777562,0.14688912257754178,0.032749811700000006,0.11413931087754176,0,0,33,36,0.0
test,20250226,10,1.0,10,87,-0.045748463669131385,-0.04591051177142813,-0.03444576019239476,-0.028359081240983765,-0.011464751579033372,-0.017551430530444365,0.0001620481022967435,10.0,5.0,10000000.0,0.03,0.9045987476826315,0.10803206819782901,0.015973212716999998,0.09205885548082901,0,0,11,12,0.0
test,20250226,20,1.0,20,87,-0.04406596363357645,-0.044261494580149996,-0.03444576019239476,-0.028359081240983765,-0.009815734387755237,-0.01590241333916623,0.0001955309465735497,10.0,5.0,10000000.0,0.03,1.0311847963715783,0.13035396438236646,0.022457825522999998,0.10789613885936648,0,0,21,23,0.0
test,20250226,30,1.0,30,87,-0.040153014766092426,-0.04040661836010142,-0.03444576019239476,-0.028359081240983765,-0.0059608581677066605,-0.012047537119117654,0.00025360359400899204,10.0,5.0,10000000.0,0.03,1.117876337030014,0.16906906267266136,0.037990869134999994,0.13107819353766137,0,1,33,38,0.0
test,20250305,10,1.0,10,87,0.00903815461629031,0.008876274326214734,-0.005888359527007503,0.0023306236171185915,0.014764633853222237,0.006545650709096143,0.0001618802900755767,10.0,5.0,10000000.0,0.03,1.209172915549,0.10792019338371779,0.011157851802000001,0.09676234158171779,0,0,13,14,1.1102230246251565e-16
test,20250305,20,1.0,20,87,0.0035360487765759073,0.0033598002270242267,-0.005888359527007503,0.0023306236171185915,0.00924815975403173,0.0010291766099056352,0.00017624854955168055,10.0,5.0,10000000.0,0.03,0.9961323485772314,0.1174990330344537,0.021050056058999997,0.09644897697545374,0,1,22,25,0.0
test,20250305,30,1.0,30,87,-0.004875736626274698,-0.005123898969082082,-0.005888359527007503,0.0023306236171185915,0.0007644605579254209,-0.007454522586200673,0.000248162342807384,10.0,5.0,10000000.0,0.03,0.9510892264684795,0.16544156187158932,0.031129866872999994,0.1343116949985894,0,2,32,38,0.0
test,20250312,10,1.0,10,87,-0.015202856927605798,-0.015300373107364061,0.015016428414802219,0.001487857018171965,-0.03031680152216628,-0.016788230125536027,9.75161797582621e-05,10.0,5.0,10000000.0,0.03,1.0491949016043507,0.06501078650550807,0.020106765873,0.04490402063250806,0,0,14,14,0.0
test,20250312,20,1.0,20,87,-0.013828098089121226,-0.013939003937458096,0.015016428414802219,0.001487857018171965,-0.028955432352260314,-0.01542686095563006,0.00011090584833686913,10.0,5.0,10000000.0,0.03,0.9242091927137883,0.07393723222457942,0.013136037387,0.06080119483757942,0,1,23,26,0.0
test,20250312,30,1.0,30,87,-0.009148223708766367,-0.009319276382162773,0.015016428414802219,0.001487857018171965,-0.024335704796964994,-0.010807133400334738,0.0001710526733964061,10.0,5.0,10000000.0,0.03,0.8723126158928018,0.11403511559760406,0.025544989419000002,0.08849012617860402,0,2,35,40,0.0
test,20250319,10,1.0,10,84,-0.059876189418875396,-0.059952303352956156,-0.03629584808153696,-0.03754313325652977,-0.023656455271419193,-0.022409170096426387,7.611393408076161e-05,10.0,5.0,10000000.0,0.03,1.2661278125817683,0.05074262272050774,0.007923236315999999,0.042819386404507734,0,0,14,15,0.0
test,20250319,20,1.0,20,84,-0.048039683719518486,-0.04812756241061605,-0.03629584808153696,-0.03754313325652977,-0.011831714329079084,-0.010584429154086278,8.787869109756153e-05,10.0,5.0,10000000.0,0.03,1.0123946698047288,0.05858579406504102,0.016226305089,0.04235948897604101,0,2,23,27,0.0
test,20250319,30,1.0,30,84,-0.047014632681897636,-0.04714501276111982,-0.03629584808153696,-0.03754313325652977,-0.010849164679582857,-0.009601879504590051,0.0001303800792221804,10.0,5.0,10000000.0,0.03,0.892247332109932,0.08692005281478693,0.018671032887,0.06824901992778694,0,4,34,42,0.0
test,20250326,10,1.0,10,83,-0.008588600039775754,-0.00864241196343311,-0.012139889581212926,-0.004872417219530245,0.0034974776177798157,-0.003769994743902865,5.381192365735668e-05,10.0,5.0,10000000.0,0.03,1.4017373744772745,0.03587461577157112,0.008413083125999999,0.02746153264557111,0,1,16,17,0.0
test,20250326,20,1.0,20,83,-0.0072391692861037155,-0.007315135615626327,-0.012139889581212926,-0.004872417219530245,0.004824753965586599,-0.002442718396096082,7.596632952261155e-05,10.0,5.0,10000000.0,0.03,1.251240085311571,0.05064421968174103,0.019593955575000002,0.03105026410674103,0,4,25,31,0.0
test,20250326,30,1.0,30,83,-0.006667789185963689,-0.006799937785810718,-0.012139889581212926,-0.004872417219530245,0.0053399517954022075,-0.0019275205662804733,0.00013214859984702907,10.0,5.0,10000000.0,0.03,1.0353291202547137,0.08809906656468604,0.03323286845099999,0.05486619811368603,0,6,38,46,0.0
test,20250402,10,1.0,10,86,-0.09374753963369697,-0.09381788810629647,-0.0854697765985003,-0.07224406362950515,-0.008348111507796172,-0.02157382447679132,7.034847259949999e-05,10.0,5.0,10000000.0,0.03,1.4850284024021283,0.04689898173299999,0.019247744565000002,0.027651237168000005,0,2,17,19,0.0
test,20250402,20,1.0,20,86,-0.09591682194204303,-0.09603152033572171,-0.0854697765985003,-0.07224406362950515,-0.010561743737221407,-0.023787456706216556,0.00011469839367868671,10.0,5.0,10000000.0,0.03,1.345976412038036,0.07646559578579114,0.035634925304999995,0.04083067048079114,0,4,28,34,0.0
test,20250402,30,1.0,30,86,-0.0903192886857018,-0.09048501051251606,-0.0854697765985003,-0.07224406362950515,-0.00501523391401576,-0.01824094688301091,0.00016572182681425809,10.0,5.0,10000000.0,0.03,1.180408003659045,0.11048121787617206,0.04343421552599999,0.06704700235017207,0,5,37,47,0.0
test,20250410,10,1.0,10,86,0.001481006338224907,0.0013913664280498378,0.012154273562466456,0.0006865992469903819,-0.010762907134416617,0.0007047671810594559,8.963991017506921e-05,10.0,5.0,10000000.0,0.03,1.4816998626624194,0.059759940116712804,0.012402877670999998,0.0473570624457128,0,1,16,18,0.0
test,20250410,20,1.0,20,86,0.008316994188799255,0.008167156386174991,0.012154273562466456,0.0006865992469903819,-0.003987117176291464,0.00748055713918461,0.00014983780262426327,10.0,5.0,10000000.0,0.03,1.2446102978804408,0.0998918684161755,0.04202606910000001,0.0578657993161755,0,3,30,35,0.0
test,20250410,30,1.0,30,86,0.011373796549202923,0.011223976212466805,0.012154273562466456,0.0006865992469903819,-0.0009302973499996509,0.010537376965476422,0.00014982033673611818,10.0,5.0,10000000.0,0.03,1.0017916189234943,0.09988022449074545,0.038716595065948954,0.06116362942479649,0,4,32,44,0.0
test,20250417,10,1.0,10,87,-0.0005218626524287307,-0.0005860283818432307,0.01620162838333794,0.005753048852801133,-0.01678765676518117,-0.006339077234644363,6.41657294145e-05,10.0,5.0,10000000.0,0.03,1.6727270580518199,0.042777152942999996,0.010409264025,0.032367888918,0,1,20,21,0.0
