trade_date,code,action,price_ref,target_value,target_volume,delta_weight
20260601,300054.SZ,BUY,10.0,99000.0,9900,0.0999999999881784
20260601,300142.SZ,BUY,10.0,99000.0,9900,0.099999999987681
20260601,300432.SZ,BUY,10.0,99000.0,9900,0.099999999986267
20260601,300383.SZ,BUY,10.0,99000.0,9900,0.0999999999859411
20260601,300037.SZ,BUY,10.0,99000.0,9900,0.0999999999813821
20260601,300001.SZ,BUY,10.0,99000.0,9900,0.0999999999675506
20260601,300285.SZ,BUY,10.0,99000.0,9900,0.0999999999580027
20260601,300207.SZ,BUY,10.0,99000.0,9900,0.0999999999487268
20260601,300017.SZ,BUY,10.0,99000.0,9900,0.0999999997513546
20260601,300498.SZ,BUY,10.0,99000.0,9900,0.0999999995542269
